word,clue,difficulty
ADRENALINE,A hormone released in response to stress or danger,hard
ALVEOLI,Tiny air sacs in the lungs where gas exchange occurs,hard
AORTA,The largest artery carrying blood from the heart,medium
APPENDIX,A small finger-like pouch attached to the large intestine,medium
ARTERY,A vessel carrying oxygenated blood away from the heart,medium
ATLAS,The first cervical vertebra supporting the skull,medium
BILE,A digestive fluid produced by the liver and stored in the gallbladder,easy
BLADDER,A muscular sac that stores urine before it is excreted,easy
BLOOD,The fluid circulating through the body transporting oxygen and nutrients,easy
BONE,A rigid connective tissue forming the body's internal skeleton,easy
BRAIN,The organ controlling thought memory and bodily functions,easy
BRONCHI,The two main airways branching from the trachea into the lungs,medium
CALCIUM,A mineral essential for strong bones and muscle function,medium
CAPILLARY,The smallest blood vessel connecting arteries to veins,hard
CARDIAC,Relating to the heart and its function,medium
CARTILAGE,A flexible connective tissue found in joints ears and nose,medium
CELL,The basic structural and functional unit of all living organisms,easy
CEREBELLUM,The brain region controlling balance and coordinated movement,hard
CEREBRUM,The largest part of the brain responsible for conscious thought,hard
CLAVICLE,The collarbone connecting the shoulder to the sternum,medium
COCHLEA,The spiral-shaped hearing organ in the inner ear,medium
COLON,The lower section of the large intestine,easy
CORNEA,The transparent outer layer covering the front of the eye,medium
CORTEX,The outer layer of the brain processing sensory and motor information,medium
DIAPHRAGM,The dome-shaped muscle that controls breathing,medium
DIASTOLE,The relaxation phase of the heart's pumping cycle,hard
DIGEST,To break down food into nutrients the body can absorb,easy
DNA,The molecule carrying genetic instructions in every cell,easy
DUODENUM,The first section of the small intestine below the stomach,hard
ENZYME,A protein that speeds up a specific chemical reaction in the body,medium
ESOPHAGUS,The muscular tube connecting the throat to the stomach,hard
EUSTACHIAN,A tube connecting the middle ear to the back of the throat,hard
FEMUR,The thigh bone and longest bone in the human body,medium
FIBULA,The slender outer bone of the lower leg,medium
FRONTAL,The lobe of the brain at the forehead governing decision-making,medium
GLAND,An organ that produces and secretes hormones or other substances,easy
GLUCOSE,A simple sugar that is the body's primary source of energy,medium
HAMSTRING,The group of three muscles at the back of the upper leg,medium
HEART,The muscular organ that pumps blood around the body,easy
HORMONE,A chemical messenger released into the bloodstream,medium
HUMERUS,The bone of the upper arm,medium
IMMUNE,The body's defense system against infection and disease,medium
INSULIN,A hormone produced by the pancreas that regulates blood sugar,medium
IRIS,The colored ring of muscle controlling the size of the pupil,easy
JOINT,A point where two or more bones meet and allow movement,easy
KERATIN,The protein forming hair nails and the outer layer of skin,medium
KIDNEY,An organ that filters waste from blood and produces urine,easy
LARYNX,The voice box containing the vocal cords,medium
LENS,The transparent structure behind the iris that focuses light,easy
LIGAMENT,A fibrous tissue connecting bone to bone at a joint,medium
LIVER,The large organ performing hundreds of metabolic functions,easy
LUMBAR,The lower section of the spine between the thorax and pelvis,medium
LUNG,One of two organs responsible for breathing and gas exchange,easy
LYMPH,A clear fluid circulating through the immune system,easy
MANDIBLE,The lower jawbone,medium
MARROW,The soft tissue inside bones that produces blood cells,easy
MELANIN,The pigment determining skin and hair color,medium
METABOLISM,The sum of all chemical processes sustaining life,hard
MITOSIS,The process of cell division producing two identical daughter cells,hard
MUSCLE,A tissue that contracts to produce movement,easy
NERVE,A bundle of fibers transmitting signals between the body and brain,easy
NEURON,A specialized cell that transmits electrical signals in the nervous system,medium
OCCIPITAL,The lobe at the back of the brain processing visual information,hard
OPTIC,The nerve carrying visual signals from the eye to the brain,medium
PANCREAS,An organ producing digestive enzymes and insulin,medium
PATELLA,The kneecap,medium
PELVIS,The bony basin linking the spine to the lower limbs,medium
PLASMA,The liquid portion of blood in which cells are suspended,medium
PLATELET,A blood cell fragment involved in clotting,medium
PLEURA,A membrane surrounding each lung,medium
PUPIL,The adjustable opening in the iris controlling light entry,easy
RADIUS,The shorter bone on the thumb side of the forearm,medium
RETINA,The light-sensitive lining at the back of the eye,medium
STERNUM,The breastbone at the center of the chest,medium
SYNAPSE,The gap between neurons across which signals are transmitted,hard
TENDON,A fibrous cord connecting muscle to bone,medium
TIBIA,The larger shin bone of the lower leg,medium
ULNA,The longer bone on the little finger side of the forearm,medium
