word,clue,difficulty
ABEAM,At a right angle to the centerline of the vessel,medium
AFT,Toward the rear or stern of a vessel,easy
ANCHOR,A heavy device dropped to hold a vessel in one place,easy
ASTERN,Behind or in the direction of the stern,easy
BACKSTAY,A wire supporting the mast running from the top to the stern,medium
BALLAST,Heavy material placed low in a hull to provide stability,medium
BARNACLE,A crustacean that attaches itself to a ship's hull below the waterline,medium
BATTEN,A thin flexible strip inserted into a sail to keep its shape,easy
BEAM,The widest measurement of a hull from side to side,easy
BEARING,The direction to an object expressed in compass degrees,medium
BILGE,The lowest interior space of a hull where water collects,easy
BLOCK,A pulley used aboard a vessel to redirect or multiply rope force,easy
BOOM,The horizontal spar extending from the mast along the foot of the sail,easy
BOW,The forward most part of a vessel,easy
BROACH,To turn uncontrollably broadside to the waves in heavy conditions,medium
BULKHEAD,A vertical partition wall inside a vessel,medium
BUOY,A floating marker anchored to indicate hazards or channels,easy
CAPSIZE,To overturn a vessel so the hull is above the waterline,medium
CAPSTAN,A vertical rotating drum used to haul in heavy lines or anchors,medium
CHART,A nautical map showing water depths hazards and landmarks,easy
CLEAT,A fitting with two horns used to secure a line aboard a vessel,easy
CLEW,The lower aft corner of a sail where sheets attach,easy
CLOSE,Sailing at the sharpest possible angle toward the wind,easy
COAMING,A raised border around a cockpit or hatch to keep water out,medium
COMPASS,An instrument using magnetic north to determine direction,easy
CURRENT,The horizontal movement of water driven by tides or wind,easy
DAVIT,A small crane used to hoist and lower a lifeboat,medium
DEAD,Navigation using known speed course and time without landmarks,easy
DECK,The horizontal surface forming the floor of a vessel's exterior,easy
DISPLACEMENT,The weight of water a hull pushes aside when floating,hard
DOUSE,To quickly lower or extinguish a sail in strong conditions,easy
DRAFT,The depth of water a vessel needs to float,easy
EBB,The outgoing phase of the tidal cycle,easy
FAIRLEAD,A fitting that guides a line in a specific direction,medium
FATHOM,A unit of depth equal to six feet used in sea charts,easy
FENDER,A cushion hung over the side to protect a hull from a dock,easy
FETCH,The distance open water over which wind generates waves,medium
FLOOD,The incoming phase of the tidal cycle,easy
FORECASTLE,The raised deck at the bow of a vessel,medium
FORESAIL,A sail set forward of the mainmast,medium
FREEBOARD,The distance between the waterline and the top of the hull,medium
GENOA,A large headsail that overlaps the mast,medium
GYBE,To turn the stern through the wind so it shifts sides,easy
HALYARD,A line used to hoist a sail up the mast,medium
HATCH,A covered opening in the deck providing access below,easy
HEAVE,To throw a line or to haul in on a rope with effort,easy
HEEL,The tipping of a vessel to one side under sail,easy
HELM,The wheel or tiller used to steer a vessel,easy
ISOBAR,A line on a weather chart connecting points of equal pressure,medium
JIB,A small triangular sail set forward of the mast,easy
KEEL,The fin extending below the hull providing stability and lift,easy
KNOT,A unit of speed equal to one nautical mile per hour,easy
LATITUDE,Angular distance north or south of the equator,medium
LEE,The sheltered side away from the direction the wind is coming from,easy
LEEWAY,The sideways drift of a vessel caused by wind pressure,medium
LINE,Any rope used aboard a vessel for a specific purpose,easy
LOG,An instrument measuring a vessel's speed through the water,easy
LONGITUDE,Angular distance east or west of the prime meridian,medium
LUFF,The forward edge of a sail or to steer toward the wind,easy
MAST,A vertical spar rising from the deck to support sails and rigging,easy
MOORING,A permanent anchor system to which a vessel is tied,medium
NAUTICAL,Relating to sailors ships or navigation,medium
OFFING,The visible sea beyond the anchoring ground near the shore,medium
PITCH,The bow-to-stern rocking motion of a vessel in waves,easy
PORT,The left side of a vessel when facing forward,easy
REACH,Sailing with the wind coming from the side of the vessel,easy
REEF,To reduce the area of a sail in increasing wind,easy
RIGGING,All the lines spars and wires supporting and controlling the sails,medium
RUDDER,An underwater blade used for steering a vessel,easy
SHEET,A line used to control the angle of a sail,easy
SHROUD,A wire running from the masthead to the side of the deck,easy
SLOOP,A single-masted sailing vessel with one headsail,easy
SPINNAKER,A large lightweight balloon sail used when sailing downwind,medium
STARBOARD,The right side of a vessel when facing forward,medium
TACK,To turn the bow through the wind so it shifts sides,easy
TIDE,The regular rise and fall of sea level driven by the moon,easy
TILLER,A horizontal lever connected directly to the rudder for steering,medium
TRANSOM,The flat or slightly curved panel forming the stern of a hull,medium
TRIM,To adjust the sails or ballast for optimal performance,easy
WAKE,The disturbed water left behind a moving vessel,easy
WINDWARD,The side of the vessel facing into the wind,medium
