word,clue,difficulty
BAGUAZHANG,A circular footwork style based on the eight trigrams,hard
BRIDGE,A forearm technique used to intercept and redirect an incoming strike,easy
BROADSWORD,A single-edged curved blade used in many kung fu weapon forms,medium
BUDO,The collective term for Japanese martial ways of study,medium
CAT,A stance resting most weight on the rear leg with front foot light,easy
CENTERLINE,The vertical axis through the body that strikes aim to control,medium
CHAIN,A series of rapid sequential strikes delivered without pause,easy
CHANG,A form class meaning long-range extended technique in Chinese,medium
CHEN,The oldest and parent style of tai chi chuan,easy
CHOY,A southern kung fu system emphasizing low stances and hand strikes,easy
CIRCLE,The footwork pattern used in bagua zhang stepping practice,easy
CLENCH,To tighten the fist fully at the moment of impact,easy
CLINCH,Close-range grappling where both fighters hold each other,easy
COMBINATION,A sequence of different strikes or movements linked together,hard
CONDITIONING,Toughening the body's striking surfaces through repetitive impact,hard
COUNTERATTACK,Responding to an incoming strike with an immediate offensive move,hard
CRANE,A kung fu style imitating the long-neck bird's pecking attacks,easy
CROSS,A straight power punch thrown with the rear hand,easy
CROUCHING,A low evasive posture used to avoid high strikes,medium
DANTIAN,The energy center located just below the navel,medium
DEFLECT,To redirect an incoming attack without meeting it with full force,medium
DIM,A system of striking vital pressure points on the body,easy
DOUBLE,A technique using both hands simultaneously in offense or defense,easy
DRAGON,A kung fu style embodying the mythical creature's winding power,medium
DRILLWORK,Repetitive paired exercises to ingrain timing and technique,medium
DUMMY,A wooden training apparatus used to practice wing chun strikes,easy
EIGHT,A classical set of long-fist exercises from northern China,easy
ELBOW,A close-range strike delivered with the point of the bent arm,easy
EMPTY,A principle of meeting force with yielding and redirection,easy
EXTENSION,Fully straightening the striking limb at the point of impact,medium
FAJIN,An explosive release of power from the body's center,medium
FIST,The closed hand formation used for direct percussive strikes,easy
FIVE,Animals or elements that form a classical kung fu classification,easy
FOOTWORK,The movement patterns used to control distance and angle,medium
FORM,A solo choreographed sequence of techniques practiced as kata,easy
GRAPPLING,Close-range techniques involving holds throws and joint locks,medium
GUARD,A defensive posture protecting the body and head,easy
HARDSTYLE,A kung fu approach emphasizing tension at the moment of impact,medium
HOOK,A curved punch traveling in an arc toward the opponent's head,easy
HORSE,A wide low riding stance developing strength and stability,easy
HUA,The principle of transforming incoming energy rather than blocking,easy
HUNG,A southern Chinese style known for powerful horse stances,easy
INTERNAL,A kung fu category emphasizing energy over muscular force,medium
IRON,A body conditioning method hardening limbs through training,easy
JEET,The way of the intercepting fist developed by Bruce Lee,easy
JOINT,A technique applying force against a limb to control movement,easy
JUDO,A Japanese art of throwing and pinning using an opponent's force,easy
KATA,A solo form encoding techniques for practice and demonstration,easy
KICK,Striking with the foot or leg,easy
KNIFE,A forward thrusting hand technique shaped like a blade,easy
KUNG,The Chinese term for skill developed through hard work,easy
LEOPARD,A style emphasizing fast half-fist strikes and agile footwork,medium
LION,A ceremonial kung fu dance performed during festivals,easy
LOCK,A joint control technique limiting an opponent's movement,easy
LONG,A northern style using extended kicks and reaching hand techniques,easy
MANTIS,A northern style imitating the insect's hooking grabbing motions,easy
MEDITATE,To sit quietly focusing the mind as part of martial training,medium
MONKEY,A ground-level acrobatic style using falling and tumbling,easy
MOTION,Continuous flowing movement linking techniques together,easy
NORTHERNSTYLE,Kung fu systems from northern China emphasizing high kicks,hard
OPEN,A hand formation used for slapping or chopping attacks,easy
PALMS,An internal style using relaxed palm strikes from loose shoulders,easy
PARRY,A sweeping deflection redirecting an incoming attack,easy
PATTERN,A sequence of movements forming the basic unit of a form,easy
POWER,Force generated from the legs hips and core for striking,easy
PRAYING,A kung fu style imitating the distinctive arm motions of the mantis,medium
PRESSURE,Applying continuous force against a training partner,medium
QIGONG,Breathing and movement exercises cultivating internal energy,medium
ROUNDHOUSE,A circular kick striking with the instep or shin,medium
SANDA,A Chinese full-contact competitive fighting sport,medium
SANDBAG,A heavy hanging training tool used to condition striking power,medium
SENSITIVITY,The ability to feel and respond to a partner's force,hard
SHADOW,Solo training simulating a fight against an imaginary opponent,easy
SIFU,A Chinese term for a respected martial arts teacher,easy
SNAKE,A style using slithering arm movements and two-finger strikes,easy
SPAR,To practice fighting with a training partner using control,easy
STAFF,A long wooden pole used as a traditional kung fu weapon,easy
STEPPING,Moving the feet to control range and angle,medium
STRIKE,Any attack using a hand foot elbow or knee,easy
SWEEP,A leg technique knocking the opponent's foot from the ground,easy
SWORD,A double-edged straight blade used in classical forms,easy
TAI,A slow internal martial art promoting health and self-defense,easy
TIGER,A style using claw-like hands and powerful clawing attacks,easy
TRAPPING,Using the hands to deflect pin and redirect incoming limbs,medium
WUSHU,The modern sport performance version of Chinese martial arts,medium
