word,clue,difficulty
ADZE,A curved-blade tool for hollowing and shaping wood by hand,easy
ANNUAL,A ring visible in cross-section marking one year of a tree's growth,easy
APRON,The horizontal rail below a tabletop connecting the legs,easy
AWL,A pointed tool used to pierce small starter holes in wood,easy
BEVEL,An angled cut that is not perpendicular to the face of the wood,easy
BISCUIT,A compressed oval wafer used to join two pieces of wood,easy
BLANK,A rough piece of wood prepared for turning or carving,easy
BLEED,When stain or finish soaks unevenly into end grain,easy
BOARD,A flat length of processed lumber,easy
BUTT,The simplest joint placing two square-cut pieces against each other,easy
CABINET,A casework piece with doors and shelves for storage,easy
CAMBIUM,The layer beneath bark where a tree's new growth forms,medium
CARD,A fine-toothed scraper used to produce a glass-smooth surface,easy
CAUL,A stiff clamping board distributing pressure evenly in a glue-up,medium
CHAMFER,A flat angled surface cut across an edge or corner,medium
CHISEL,A steel blade struck with a mallet to pare and shape wood,easy
CHUCK,The device on a lathe holding the workpiece during turning,easy
CLAMP,A device applying pressure to hold pieces together during glue-up,easy
COOPERING,The craft of making barrels by assembling angled stave segments,hard
COPE,To cut the profile of one molding to fit over another's face,easy
CROSSCUT,Cutting across the grain at right angles to the wood's length,medium
DADO,A flat-bottomed groove cut across the grain into a board,easy
DANISH,A penetrating oil finish soaking into wood fibers,easy
DOVETAIL,An interlocking angled joint resembling a bird's tail feathers,medium
DOWEL,A cylindrical wooden rod used to reinforce a butt joint,easy
DRAWKNIFE,A two-handled blade pulled toward the user to remove material,medium
DRYING,Seasoning wood by reducing its moisture content,easy
DWELL,A brief pause at the end of a router pass to clean the cut,easy
FACE,The wide flat reference surface of a board used for measurement,easy
FEATHERBOARD,A slotted guide holding stock against the fence of a power tool,medium
FENCE,An adjustable guide keeping a tool a consistent distance from an edge,easy
FIGURE,The decorative pattern created by grain arrangement in wood,easy
FINGER,An interlocking box joint with rectangular projecting pins,easy
FROE,A blade and handle tool used to split wood along the grain,easy
GLUE,Adhesive used to permanently bond wood surfaces,easy
GOUGE,A curved chisel used for hollowing and carving concave shapes,easy
GRAIN,The direction and texture of wood fibers in a piece of lumber,easy
HARDWOOD,Timber from deciduous broadleaf trees such as oak and maple,medium
HEARTWOOD,The dense darker inner wood of a tree that is no longer living,medium
INLAY,A decorative strip or shape let into a recess in a surface,easy
JAPANESE,A style of saw cutting on the pull stroke for precision,medium
JIG,A device guiding a tool for repeatable accurate cuts,easy
JOINTER,A machine surfacing one face and one edge of a board flat and square,medium
KERF,The narrow channel removed by a saw blade as it cuts,easy
KNOT,A dense circular imperfection where a branch joined the trunk,easy
LATHE,A machine spinning wood so tools can shape it into round forms,easy
LAYOUT,Marking out cuts and joinery positions on a workpiece,easy
LUMBER,Timber processed into boards and planks for building and furniture,easy
MARKING,A scribing tool used to scribe a line parallel to an edge,easy
MITER,A joint formed where two pieces meet at equal complementary angles,easy
MOISTURE,The percentage of water contained within wood relative to its dry weight,medium
MOLDING,A decorative profile cut along the edge or face of a board,easy
MORTISE,A rectangular hole cut to receive a tenon in a joint,easy
NESTING,Stacking multiple cuts within one piece to minimize waste,medium
PARTING,A narrow chisel-like tool used on a lathe to cut off a piece,easy
PATINA,The mellowed surface color wood develops through age and use,medium
PILOT,A small bore hole preventing wood from splitting when driving a screw,easy
PLANE,A hand tool with a blade shaving thin layers to flatten surfaces,easy
PLUNGE,A router technique lowering the bit into a workpiece mid-cut,medium
POCKET,A hidden screw joint drilled at an angle into the back of a board,medium
RABBET,A stepped recess cut along an edge to receive another piece,easy
RAISE,To cut a field into a panel leaving a raised central area,easy
RIPPING,Cutting wood parallel to the grain along its length,easy
ROUTER,A power tool spinning a cutter to shape profiles and cut joints,easy
SAPWOOD,The pale outer layer of living wood just beneath the bark,medium
SAW,A toothed cutting tool for dividing wood,easy
SEASONING,Reducing the moisture content of wood to prevent warping,medium
SHELLAC,A natural resin dissolved in alcohol used as a wood finish,medium
SOFTWOOD,Timber from coniferous trees such as pine and spruce,medium
SPOKESHAVE,A small two-handled plane for shaping curved surfaces,medium
SQUARE,A tool checking that two surfaces are at exactly ninety degrees,easy
STAIN,A pigmented or dye solution applied to color wood,easy
STOPPED,A groove or dado that does not run the full length of the board,medium
TENON,The projecting tongue of wood fitting into a mortise,easy
TUNG,A hardening oil finish derived from the seed of the tung tree,easy
WINDING,The twisted distortion along the length of a board,easy
