word,clue,difficulty
AGATE,A banded chalcedony found in many colors and patterns,medium
ALABASTER,A soft fine-grained white gypsum used for carvings,medium
ALEXANDRITE,A gemstone that appears green in daylight and red in lamplight,hard
ALLUVIAL,Deposited by water and a common source of placer gold and gems,medium
AMBER,Fossilized tree resin often containing ancient insects,easy
AMETHYST,A violet variety of quartz prized as a gemstone,medium
ANDALUSITE,A pleochroic mineral showing different colors from different angles,hard
AQUAMARINE,A pale blue-green variety of beryl named for seawater,hard
BANDED,Describing minerals with alternating layers of color,easy
BERYL,A mineral family including emerald and aquamarine,medium
BRILLIANCE,The intensity of white light reflected from a cut gemstone,medium
CABOCHON,A gemstone shaped and polished without facets,medium
CALCITE,A common carbonate mineral forming limestone and marble,medium
CARAT,The unit of weight used for gemstones equal to 0.2 grams,easy
CARNELIAN,A reddish-orange variety of chalcedony used since antiquity,medium
CHALCEDONY,A microcrystalline form of quartz including agate and jasper,hard
CHROMITE,A mineral and the primary ore of the element chromium,medium
CITRINE,A yellow to orange variety of quartz used as a gemstone,medium
CLEAVAGE,The tendency of a mineral to split along planes of weakness,medium
COBALTITE,A silvery mineral that is an ore of cobalt,medium
CORUNDUM,The mineral family of ruby and sapphire second only to diamond in hardness,medium
CRYSTAL,A solid with atoms arranged in a regular repeating pattern,easy
CUBIC,A crystal system with three equal axes at right angles,medium
CUT,The angles and proportions given to a gemstone to enhance light,easy
DIAMOND,The hardest natural substance formed from pure carbon,easy
DICHROISM,The property of showing two different colors when viewed at angles,hard
DOLOMITE,A calcium magnesium carbonate mineral forming sedimentary rock,medium
DRUSY,Describing a surface covered in tiny crystal clusters,medium
EMERALD,A prized green variety of beryl colored by chromium,medium
FACET,A flat polished surface cut onto a gemstone,easy
FELDSPAR,The most abundant mineral group in the earth's crust,medium
FLINT,A hard fine-grained chert that sparks when struck,easy
FLUORESCENCE,The glow some minerals emit under ultraviolet light,hard
FLUORITE,A colorful mineral used as a flux and gemstone,medium
FRACTURE,The irregular way a mineral breaks when not along cleavage planes,medium
GALENA,The primary ore mineral of lead with a bright metallic luster,medium
GARNET,A group of silicate minerals used as gemstones and abrasives,medium
GEODE,A hollow rock lined with inward-pointing crystals,easy
GYPSUM,A soft sulfate mineral used in plaster and alabaster,medium
HALITE,The mineral form of common table salt,medium
HARDNESS,A mineral's resistance to scratching measured on the Mohs scale,medium
HEMATITE,An iron oxide mineral with a reddish-brown streak,medium
INCLUSION,A foreign material or imperfection trapped inside a gemstone,medium
IRIDESCENCE,A play of rainbow colors shifting with viewing angle,hard
JADE,A gemstone term covering nephrite and jadeite,easy
JASPER,An opaque microcrystalline quartz found in many colors,medium
KUNZITE,A pink to lilac variety of the mineral spodumene,medium
KYANITE,A blue mineral showing different hardness in different directions,medium
LABRADORITE,A feldspar displaying brilliant spectral color play,hard
LAPIDARY,An artisan who cuts and polishes gemstones,medium
LAPIS,A vivid blue rock prized as a gemstone since ancient times,easy
LUSTRE,The way light interacts with and reflects from a mineral surface,medium
MALACHITE,A vivid green copper carbonate mineral with banded patterns,medium
MICA,A mineral that splits into thin flexible transparent sheets,easy
MOHS,The scale ranking mineral hardness from one to ten,easy
MOONSTONE,A feldspar gemstone showing a floating glow called adularescence,medium
OBSIDIAN,Volcanic glass formed from rapidly cooled lava,medium
OLIVINE,A common magnesium iron silicate mineral also called peridot,medium
OPAL,A hydrated silica gemstone displaying shifting colors,easy
PEARL,A smooth lustrous gem formed inside a mollusk,easy
PERIDOT,A yellow-green gemstone that is the gem variety of olivine,medium
PLEOCHROISM,Showing different colors when viewed along different crystal axes,hard
PRISM,A transparent crystal that disperses white light into a spectrum,easy
PYRITE,An iron sulfide mineral nicknamed fool's gold for its metallic sheen,medium
QUARTZ,The second most abundant mineral in the continental crust,easy
RHODONITE,A pink manganese silicate used as a gemstone and ornamental stone,medium
RUBY,A red gemstone that is the red variety of corundum,easy
RUTILE,A titanium dioxide mineral often included as needles in other gems,medium
SAPPHIRE,A blue gemstone that is the non-red variety of corundum,medium
SILICA,Silicon dioxide the compound forming quartz and many other minerals,medium
SPINEL,A red gemstone historically confused with ruby,medium
STREAK,The color of a mineral when powdered by drawing it across a plate,easy
TANZANITE,A blue-violet zoisite gem found only near Mount Kilimanjaro,medium
TOPAZ,A hard silicate mineral found in pink blue and golden varieties,medium
TOURMALINE,A boron silicate mineral showing the widest color range of any gem,hard
TURQUOISE,A blue-green copper phosphate mineral used in jewelry for millennia,medium
ZIRCON,A natural zirconium silicate used as a diamond simulant,medium
