word,clue,difficulty
AERIALS,A freestyle skiing discipline of jumping and flipping off ramps,medium
ALPINE,Downhill ski racing disciplines on groomed steep courses,medium
BIATHLON,Cross-country skiing combined with rifle target shooting,medium
BOBSLED,A team sled racing down a twisting refrigerated ice channel,medium
BUMPS,Another name for the moguls discipline in freestyle skiing,easy
BUNGEE,A safety cord used during aerial training over water,medium
CARVE,To make clean precise turns leaving a thin line in the snow,easy
CHAIRLIFT,A suspended cable system carrying skiers up a mountain,medium
CHANNEL,The narrow iced corridor through which sleds race,easy
CIRCUIT,The competition loop around which cross-country skiers race,medium
CLASSIC,A cross-country skiing style using a parallel stride technique,medium
CLEAN,A biathlon shooting round with no missed targets,easy
COACHING,The guided preparation of athletes for competitive performance,medium
COMBINED,A discipline pairing two events such as downhill and slalom,medium
COURSE,The designated path athletes follow during a competition,easy
CRAMPONS,Metal spikes fixed to boots for grip on ice and snow,medium
CROSS,A parallel ski racing event with multiple competitors simultaneously,easy
CURLING,A precision sport of sliding weighted stones on ice toward a house,medium
DOWNHILL,The fastest and longest alpine ski racing discipline,medium
DRAG,Air resistance that slows athletes in speed events,easy
EDGE,The metal strip along the bottom of a ski used for turning,easy
FIGURE,An ice skating discipline judged on program and presentation,medium
FINAL,The decisive competition round determining medal winners,easy
FLAGS,The colored poles athletes must ski around in slalom courses,easy
FLYING,A cross-country skiing start where skiers begin at full pace,medium
FREESTYLE,A skiing discipline allowing creative trick-based performance,medium
GATE,A pair of poles marking where skiers must pass in slalom,easy
GIANT,A slalom discipline with wider-spaced gates than regular slalom,medium
GLIDE,Wax applied to skis to improve their sliding ability on snow,easy
GOGGLE,Protective eyewear worn during high-speed snow events,medium
GONDOLA,An enclosed cable car used to transport athletes up mountains,medium
GRIP,Wax applied to kick zones of classic cross-country skis,easy
HALFPIPE,A U-shaped snow structure used in snowboard and ski events,medium
HARNESS,A safety device securing athletes during aerial training,medium
HEAT,A preliminary round in luge bobsled or skeleton competition,easy
HELMET,A protective head covering mandatory in most sliding events,medium
HILL,The inrun and jump structure used in ski jumping competition,easy
HOCKEY,A fast-contact team sport played on ice with sticks and a puck,medium
HOMOLOGATION,Official approval of a ski jump hill measurement,hard
INDIVIDUAL,A biathlon race format where each missed shot adds a time penalty,hard
INRUN,The steep starting slope on a ski jump facility,medium
JUMP,A ski discipline of launching from a ramp for distance and style,easy
KLISTER,A sticky wax applied to skis in wet or icy snow conditions,medium
LUGE,A solo feet-first sled racing discipline on a natural or artificial track,easy
MASS,A biathlon or cross-country race where all competitors start together,easy
MOGULS,A freestyle skiing discipline navigating bumpy terrain with jumps,medium
NORDIC,A ski discipline combining cross-country racing and jumping,medium
OUTRUN,The flat runout area at the bottom of a ski jump landing hill,medium
PARALLEL,A slalom format with two skiers racing side-by-side simultaneously,medium
PATROL,Officials who mark and monitor racecourse safety conditions,medium
PENALTY,A time addition in biathlon for each missed shooting target,medium
PIPE,Shortened term for the halfpipe used in snow freestyle events,easy
PISTOL,The target shooting firearm used in the standing biathlon position,medium
PIVOT,The rotation technique used to change direction in ice dance,medium
PLATFORM,The starting structure from which sliding athletes launch,medium
POLE,The lightweight stick used to push and balance during skiing,easy
POWDER,Fresh deep untouched snow favored by off-piste skiers,medium
PRONE,The lying-down shooting position used in biathlon races,easy
PUCK,The hard rubber disc used as the target in ice hockey,easy
PURSUIT,A biathlon format where start gaps reflect finishing times from sprint,medium
RELAY,A team competition where each member skis one leg of the race,medium
RIFLE,The firearm carried by biathletes throughout their race,easy
RINK,The rectangular ice surface used for hockey and skating events,easy
ROCKER,A ski profile with early rise that aids flotation in deep snow,medium
RUNNER,The metal blade on the bottom of a luge or skeleton sled,easy
SCHUSS,To ski directly down a slope without turning,easy
SHORT,An ice speed skating discipline on an oval with tight pack racing,easy
SKELETON,A solo head-first sled racing event on a refrigerated track,medium
SKI,A long flat gliding board strapped to the foot for snow travel,easy
SKIJORING,Being pulled across snow by a horse dog or vehicle on skis,medium
SLALOM,A tight turning race through closely set alternating gates,medium
SLOPE,A snow hill used in the slopestyle tricks and jumps discipline,easy
SNOWBOARD,A wide single board used for sliding down snow slopes,medium
SPEED,An ice skating discipline racing over long distances against the clock,easy
SPRINT,A short intense cross-country or biathlon race format,medium
SUPER,A downhill discipline with more turns than pure downhill racing,medium
TELEMARK,A skiing style using a bent knee dipping lunge turn technique,medium
TRANSFER,Moving the weight between ski edges to initiate a carved turn,medium
