word,clue,difficulty
ACT,A major division of a screenplay,easy
BIT,A small supporting role with few lines,easy
BOOM,A long pole used to position a microphone overhead,easy
CALL,A notification of when cast must arrive on set,easy
CLIP,A short excerpt taken from a longer film,easy
CUT,An abrupt transition between two shots,easy
DUPE,A duplicate print of a film,easy
FILL,Light used to soften shadows on a subject,easy
FOIL,A character who contrasts with the protagonist,easy
GAFF,A hook used to secure lighting rigs overhead,easy
GRIP,A crew member who handles camera support equipment,easy
LENS,The optical glass element of a camera,easy
LOT,A studio-owned outdoor filming area,easy
MARK,A taped spot showing an actor where to stand,easy
MATTE,A mask used to block part of the frame,easy
PITCH,A verbal presentation of a film idea to producers,easy
PLOT,The sequence of events that drives a story,easy
PROP,Any object handled by an actor on screen,easy
REEL,A spool on which film is wound and stored,easy
ROLL,The command to begin recording sound and image,easy
SCENE,A single unit of action in one location,easy
SHOT,A single continuous recording from the camera,easy
SPOOL,A cylinder for winding magnetic tape or film,easy
SYNC,The alignment of sound and picture,easy
TAKE,One recorded attempt at filming a scene,easy
ANGLE,The direction from which a camera frames a subject,medium
ASPECT,The ratio of a frame's width to its height,medium
CALLBACK,A second audition for a shortlisted performer,medium
CAMEO,A brief surprise appearance by a famous person,medium
CRANE,A tall arm used to lift a camera high above the set,medium
CREDIT,A listed acknowledgment of a person's contribution,medium
DAILIES,Unedited footage reviewed by the director each day,medium
DEPTH,The range of sharp focus within a shot,medium
DIALOG,Spoken words exchanged between characters on screen,medium
DOLLY,A wheeled platform for smooth tracking camera moves,medium
DRAFT,One version of a written screenplay,medium
DUBBING,Replacing original dialogue with a new recording,medium
EDITOR,The person who assembles footage into a finished film,medium
FILTER,A transparent element placed before the lens to alter light,medium
FLASHBACK,A scene that jumps to an earlier point in time,medium
FOOTAGE,Raw recorded material before editing,medium
GAFFER,The chief electrician responsible for lighting a production,medium
GENRE,A category of film defined by style or subject matter,medium
INSERT,A close-up shot cut into a scene for detail,medium
LOCATION,A real-world place used for filming outside a studio,medium
MONTAGE,A rapid sequence of shots showing the passage of time,medium
NEGATIVE,The original exposed film from which prints are made,medium
PALETTE,The range of colors deliberately chosen for a film,medium
PICKUP,Additional footage filmed after the main shoot ends,medium
POSTER,The main marketing image created for a film release,medium
PREMIERE,The first public screening of a finished film,medium
RELOAD,To load a fresh magazine of film into the camera,medium
RUSHES,Ungraded footage sent for review after each shoot day,medium
SEQUEL,A film that continues the story of a previous one,medium
SLATE,A board clapped in front of the camera to mark a take,medium
SOUND,All audio elements combined in the final film mix,medium
STUNT,A dangerous physical action performed for the camera,medium
TRAILER,A short promotional preview of an upcoming film,medium
TYPECAST,Repeatedly cast in the same kind of role,medium
COVERAGE,All the shots recorded to cover a given scene,hard
CONTINUITY,The consistency of detail between filmed shots,hard
CINEMATOGRAPHY,The art and technique of capturing images on film,hard
COMPOSITOR,An artist who combines visual elements into one image,hard
COLORGRADE,The process of adjusting hue and tone in post-production,hard
DENOUEMENT,The final resolution following the climax of a story,hard
DEVELOPMENT,The stage of preparing a script and funding a film,hard
DISSOLVE,A gradual transition where one shot fades into another,hard
EXPOSITION,Dialogue or narration that delivers background information,hard
GREENSCREEN,A backdrop replaced with digital environments in post,hard
JUXTAPOSITION,Placing contrasting images side by side for effect,hard
LEITMOTIF,A recurring musical theme tied to a character or idea,hard
PRODUCTION,The principal photography phase of making a film,hard
PROTAGONIST,The central character driving the story forward,hard
STORYBOARD,A sequence of drawn panels planning each camera shot,hard
