word,clue,difficulty
ALLEGORY,A narrative where characters and events symbolize deeper meanings,hard
ALLITERATION,Repetition of the same consonant sound at the start of nearby words,hard
ALLUSION,An indirect reference to a person place text or event,medium
ANACHRONISM,Something placed in the wrong historical time period,hard
ANAPHORA,Repetition of a word or phrase at the start of successive clauses,hard
ANTAGONIST,The character or force opposing the protagonist,medium
ANTICLIMAX,A sudden descent from the important to the trivial in a narrative,hard
ANTITHESIS,The juxtaposition of contrasting ideas in parallel grammatical structure,hard
ARCHETYPE,A universally recognized character type or story pattern,medium
ASIDE,A remark spoken to the audience not heard by other characters,easy
ASSONANCE,Repetition of vowel sounds within nearby words,medium
ATMOSPHERE,The overall mood or emotional tone of a narrative,medium
BILDUNGSROMAN,A coming-of-age story tracing a character's moral development,hard
BLANK,Unrhymed verse written in iambic pentameter,easy
CATHARSIS,The emotional release an audience experiences at a drama's end,hard
CHARACTERIZATION,The methods an author uses to develop a character's personality,hard
CHIASMUS,A rhetorical reversal of grammatical structures in successive phrases,hard
CHRONOLOGY,The sequential arrangement of events in the order they occurred,hard
CLICHÉ,An overused phrase or idea that has lost its original impact,medium
CLIMAX,The turning point of highest tension in a narrative,easy
CLIFFHANGER,An ending that leaves the outcome unresolved to create suspense,medium
COMEDY,A dramatic genre ending happily often using humor and irony,easy
CONFLICT,The central struggle driving the action of a narrative,medium
CONNOTATION,The implied or associated meaning a word carries beyond its definition,hard
COUPLET,Two consecutive lines of poetry that rhyme,easy
DÉNOUEMENT,The resolution and untangling of plot threads after the climax,hard
DIALOGUE,Conversation between characters within a narrative,medium
DICTION,An author's choice and arrangement of words,medium
DRAMATIC,Irony where the audience knows more than the characters,medium
ELEGY,A mournful reflective poem lamenting a death or loss,medium
ENJAMBMENT,The continuation of a poetic line beyond the end of one verse into the next,hard
EPIC,A long narrative poem celebrating heroic deeds and adventures,easy
EPIGRAPH,A quotation placed at the start of a text to suggest its theme,medium
EPILOGUE,A concluding section of a narrative following the main action,medium
EPITHET,A descriptive phrase characterizing a person or thing,medium
EXPOSITION,Introductory background information provided at the start of a story,hard
FABLE,A short story using animals to convey a moral lesson,easy
FARCE,A broadly comic dramatic work relying on exaggeration and improbability,medium
FLASHBACK,A scene returning to an earlier point in the story's timeline,medium
FOIL,A character whose contrasting traits highlight those of another,easy
FORESHADOWING,An early hint suggesting a future development in the narrative,hard
FRAME,A story-within-a-story structural device,easy
FREE,Verse without regular meter or rhyme scheme,easy
HAMARTIA,The fatal flaw leading to a tragic hero's downfall,hard
HUBRIS,Excessive pride that leads a character toward destruction,medium
HYPERBOLE,Deliberate exaggeration used for emphasis or comic effect,hard
IAMBIC,A metrical foot of one unstressed followed by one stressed syllable,medium
IMAGERY,Descriptive language appealing to the senses,medium
IRONY,A contrast between what is stated and what is meant or expected,easy
JUXTAPOSITION,Placing two contrasting elements side by side for effect,hard
LYRIC,A short personal poem expressing the speaker's emotions,easy
METAPHOR,A direct comparison stating that one thing is another,medium
METER,The rhythmic pattern of stressed and unstressed syllables in verse,easy
MOTIF,A recurring image symbol or idea throughout a work,medium
NARRATIVE,A spoken or written account of connected events,medium
OMNISCIENT,A narrator who knows the thoughts and feelings of all characters,medium
ONOMATOPOEIA,A word that phonetically imitates the sound it describes,hard
OXYMORON,A phrase combining two contradictory terms,medium
PARABLE,A simple story illustrating a moral or spiritual lesson,medium
PARADOX,A statement that appears contradictory but contains a truth,medium
PARODY,A work that imitates another for comic or satirical effect,medium
PATHOS,An appeal designed to evoke sympathy or sorrow,medium
PERSONIFICATION,Giving human qualities to non-human things,hard
PLOT,The sequence of events making up the story,easy
POINT,The perspective from which a story is narrated,easy
PROLOGUE,An introductory passage preceding the main body of a work,medium
PROSE,Written language in its ordinary continuous form,easy
PROTAGONIST,The central character whose journey drives the narrative,hard
RHYME,The repetition of similar sounds at the end of verse lines,easy
SATIRE,A work using humor irony or exaggeration to expose human failings,medium
SIMILE,A comparison using like or as,easy
SOLILOQUY,A speech in which a character reveals thoughts while alone on stage,hard
SONNET,A fourteen-line poem following a specific rhyme and meter scheme,medium
STANZA,A grouped set of lines forming a unit within a poem,easy
STREAM,A narrative technique presenting a character's continuous inner thoughts,easy
SUBTEXT,The underlying meaning beneath the explicit words of a dialogue,medium
SYMBOL,An object character or event representing something beyond itself,easy
SYNTAX,The arrangement of words and phrases to form sentences,medium
THEME,The central idea or message of a literary work,easy
TONE,The author's attitude toward the subject expressed through style,easy
TRAGEDY,A dramatic genre ending in the downfall of the protagonist,medium
