word,clue,difficulty
ALBERTI,A Renaissance architect and theorist who codified classical proportion,medium
ALLEGORY,A painting using figures to represent abstract virtues and concepts,medium
ANATOMY,The scientific study of the human body enabling naturalistic art,medium
ANTIQUITY,The ancient Greek and Roman world that Renaissance thinkers revived,medium
APPRENTICE,A young artist learning craft under a master in a workshop,medium
ARCH,A curved architectural form revived from ancient Roman practice,easy
BALDACHIN,A ceremonial canopy over an altar or throne,medium
BAPTISTERY,A separate building used for the sacrament of baptism,medium
BOTTICELLI,A Florentine painter known for the Birth of Venus,medium
BRONZE,An alloy of copper and tin used for Renaissance portrait busts,easy
BRUNELLESCHI,The architect who solved the problem of Florence's unfinished dome,hard
BUON,True fresco painting applied to wet plaster creating a lasting bond,easy
CARDINAL,A high-ranking church official who was often a patron of the arts,medium
CARTOON,A full-scale preparatory drawing transferred onto a wall or canvas,medium
CASTIGLIONE,The author of a guide on the ideal Renaissance courtier,hard
CHIAROSCURO,The use of strong light and shadow contrasts in painting,hard
CHOIR,The part of a church reserved for singers in Renaissance basilicas,easy
CIVIC,Relating to the public and communal life of a Renaissance city-state,medium
CODEX,A bound manuscript format used for Renaissance scientific and artistic notes,medium
COMMISSION,A formal contract from a patron to an artist for a specific work,medium
CONDOTTIERE,A mercenary military commander employed by Renaissance city-states,hard
COUNCIL,A church assembly at Trent that directed post-Reformation art,easy
COURTIER,A person attending and serving at a Renaissance ruler's court,medium
CUPOLA,A small dome crowning a larger one or sitting atop a roof,medium
DOGE,The elected chief magistrate of Venice or Genoa,easy
DOME,The crowning architectural achievement of the Florentine cathedral,easy
DONATELLO,A Florentine sculptor creating the first freestanding nude since antiquity,medium
DRAPERY,The painted or sculpted folds of cloth used to show skill with form,medium
DYNASTY,A ruling family like the Medici maintaining power through generations,medium
EMPIRICAL,Based on direct observation rather than received authority,hard
ENGRAVING,A printmaking technique cutting designs into metal plates,medium
FACADE,The principal front face of a Renaissance church or palace,medium
FIBONACCI,A mathematician whose sequence describes proportion in nature,hard
FLORENCE,The Tuscan city considered the birthplace of the Renaissance,medium
FORESHORTENING,A perspective technique creating the illusion of recession in the body,hard
FRESCO,Wall painting applied onto fresh wet plaster as it dries,easy
GALLERY,A long corridor displaying paintings in a Renaissance palace,medium
GENIUS,The concept of extraordinary innate creative talent,easy
GESTURE,A significant hand or body position communicating meaning in a painting,medium
GIOTTO,The medieval Florentine painter considered the precursor of the Renaissance,medium
GOLD,Leaf used in painting and religious panels to suggest divine light,easy
GUILD,A professional association regulating craft trades and training,easy
HERESY,Religious belief contradicting church doctrine risking prosecution,medium
HUMANISM,An intellectual movement placing human reason and classical learning at its center,medium
IDEALIZATION,Presenting the human form at its most perfect rather than as observed,hard
ILLUSIONISM,The use of artistic technique to create convincing three-dimensional space,hard
IMPRIMATURA,A tinted ground layer applied to a panel before painting began,hard
INTAGLIO,A printmaking technique cutting below the surface of the plate,medium
LANTERN,A small windowed tower admitting light to the top of a dome,medium
LAST,Leonardo's mural depicting Christ and the apostles before the Passion,easy
LATIN,The language of scholarship church and diplomacy in the Renaissance,easy
LEDA,A mythological subject depicting a swan and a mortal woman,easy
LECTURE,An academic discourse in a university setting on classical texts,medium
LEGATEE,A person inheriting artwork or property from a Renaissance patron,medium
LEONARDO,The polymath painter engineer and scientist from Vinci,medium
LINEAR,A system using converging lines to create the illusion of depth,medium
LOGGIA,An open arcade or gallery facing into a courtyard or piazza,medium
MACHIAVELLI,The author of a treatise on political power and statecraft,hard
MADONNA,A devotional image of the Virgin Mary with the Christ Child,medium
MANNERISM,A late Renaissance style exaggerating proportion and virtuosity,hard
MANUSCRIPT,A handwritten or illuminated book produced before the printing press,medium
MARBLE,The favored stone of Renaissance sculptors for its workability,easy
MEDICI,The banking family whose patronage made Florence an artistic capital,medium
METAPHOR,A figurative comparison used in Renaissance poetry and literature,medium
MICHELANGELO,The sculptor painter and architect who created the Sistine Chapel ceiling,hard
MOSAIC,A decorative surface made of small pieces of colored glass or stone,medium
MURAL,A large-scale painting applied directly to a wall or ceiling,easy
NARRATIVE,A painting telling a story drawn from scripture history or myth,medium
NATURALISM,Depicting subjects as they appear in reality rather than idealized,medium
NEOPLATONISM,A philosophical system reviving Platonic thought influential in Florence,hard
OIL,A painting medium using pigments suspended in linseed or walnut oil,easy
ORDER,A classical column style such as Doric Ionic or Corinthian,easy
PALAZZO,A grand private urban residence of a wealthy Renaissance family,medium
PANEL,A wooden support on which Renaissance painters applied tempera or oil,easy
PATRON,A wealthy individual financing an artist or commissioning a work,medium
PETRARCH,The Italian poet whose love sonnets founded Renaissance lyric verse,medium
PIAZZA,The central public square of an Italian city,easy
PIETÀ,A sculptural scene of the Virgin Mary cradling the dead Christ,medium
PILASTER,A flat decorative column projecting slightly from a wall surface,medium
POLYPTYCH,An altarpiece made of multiple hinged or framed panels,hard
PORTRAIT,A painting or sculpture recording the likeness of a specific person,medium
PRINTING,The press invented by Gutenberg enabling mass distribution of texts,easy
PROFILE,A portrait showing the subject from the side,easy
PROPORTION,The mathematical relationship between the dimensions of a figure,medium
