word,clue,difficulty
BLITZ,A defensive play sending extra rushers at the quarterback,easy
BLOCK,To legally obstruct a defender with your body,easy
CHAIN,A ten-yard measuring device used to determine first downs,easy
CHIP,A short pass to a running back swinging out of the backfield,easy
CHOP,An illegal low block targeting a defender's legs,easy
CLEAT,A spiked shoe worn for traction on a grass field,easy
CLIP,An illegal block from behind against a non-ball carrier,easy
DEAD,Describing the ball when play has been whistled to a stop,easy
DOWN,One of four chances to advance the ball ten yards,easy
DRAFT,The annual selection of college players by NFL teams,easy
DRAW,A delayed handoff designed to look like a passing play,easy
DRIVE,A series of consecutive offensive plays moving downfield,easy
DROP,The backward movement of a quarterback before passing,easy
ELIGIBLE,A player permitted to legally catch a forward pass,medium
END,A player positioned at the outer edge of the line,easy
FAIR,A signal made by a punt returner to catch without being hit,easy
FAKE,A deceptive movement designed to mislead the defense,easy
FIELD,A kick sent through the uprights worth three points,easy
FLAG,A yellow marker thrown by an official to signal a penalty,easy
FLANK,A wide receiver aligned outside the tight end,easy
FLEA,A trick play where the ball is lateraled to a receiver,easy
FUMBLE,Losing possession by dropping a live ball,easy
GOAL,The upright structure through which kicks must pass,easy
GUARD,An offensive lineman positioned beside the center,easy
GUNNER,A special teams player who races down to cover kicks,medium
HAIL,A desperate long pass thrown near the end of a game,easy
HAND,The act of giving the ball directly to another player,easy
HANG,A high kick that stays in the air to allow coverage time,easy
HASH,One of two sets of short lines marking the field width,easy
HOLDING,Illegally grabbing an opponent's jersey or body,medium
HUDDLE,A brief gathering of players to call the next play,easy
HURRY,The time limit imposed on the offense before a penalty,easy
ILLEGAL,Describing any action that violates the rules of play,medium
INTENTIONAL,Deliberately throwing the ball away to avoid a sack,hard
INTERCEPTION,Catching a pass thrown by the opposing quarterback,hard
LATERAL,A backward or sideways pass that is not a forward throw,medium
LINEMAN,A player who lines up on the line of scrimmage,medium
MOTION,Legal pre-snap movement by a backfield player,medium
NEUTRAL,The zone between the two lines of scrimmage at the snap,medium
NICKEL,A defensive formation using five defensive backs,medium
OFFSIDES,Crossing the line of scrimmage before the ball is snapped,medium
ONSIDE,A short kick intended to be recovered by the kicking team,medium
OPTION,A play where the quarterback chooses to hand off or keep,medium
OVERTIME,An additional period played when the score is tied,medium
PASS,Throwing the ball forward to an eligible receiver,easy
PENALTY,A yardage punishment assessed for breaking a rule,medium
PISTOL,A formation with the quarterback a few yards behind center,medium
PLAY,A single designed action run by the offense from the huddle,easy
POCKET,The protected area behind the offensive line where the QB stands,medium
PUNT,A kick made by dropping and booting the ball before it lands,easy
QUARTERBACK,The offensive player who receives the snap and directs plays,hard
RECEPTION,A legal catch made by an eligible offensive player,medium
REDZONE,The area inside the opponent's twenty-yard line,medium
RUSH,To carry the ball on a running play,easy
SACK,To tackle the quarterback behind the line of scrimmage,easy
SAFETY,A tackle in the end zone worth two points to the defense,easy
SCRAMBLE,A quarterback running to avoid the pass rush,medium
SCREEN,A short pass to a receiver with blockers set in front,medium
SERIES,The group of four downs given to the offense,medium
SHOTGUN,A formation with the quarterback lined up several yards back,medium
SNAP,The act of hiking the ball from center to quarterback,easy
SPECIAL,Units of players who handle kicking situations,medium
SPIRAL,A perfectly thrown pass rotating on its axis,medium
SWEEP,A wide running play going toward the sideline,easy
TACKLE,To bring the ball carrier down to end a play,easy
TOUCHBACK,A ruling that places the ball at the twenty after a kick,medium
TOUCHDOWN,A score worth six points for crossing the goal line,medium
TURNOVER,Losing possession to the opposing team,medium
TWOPOINT,A conversion attempt run from the two-yard line,medium
UMPIRE,The official who monitors the line of scrimmage,medium
UNSPORTSMANLIKE,Conduct penalizing taunting or disrespectful behavior,hard
WILDCAT,A formation where a non-quarterback receives the snap,medium
ZONE,A defensive coverage scheme protecting areas of the field,easy
