word,clue,difficulty
ACCLIMATIZE,To allow the body to adjust to reduced oxygen at altitude,hard
ALPENGLOW,The reddish glow on mountain peaks at sunrise or sunset,medium
ALTITUDE,The height above sea level at which a climber is positioned,medium
ANCHOR,A fixed point securing a rope to the mountain,easy
ARÊTE,A sharp narrow rock ridge between two glacial valleys,medium
ASSAULT,A summit attempt following a period of preparation,easy
AVALANCHE,A mass of snow and ice suddenly sliding down a mountain slope,medium
AZIMUTH,A compass bearing measured clockwise from north in degrees,medium
BASECAMP,The main supply and logistics hub at the foot of a climb,medium
BELAY,A technique controlling a rope to stop a falling climber,easy
BERGSCHRUND,The crevasse between a glacier and the rock headwall above it,hard
BIVOUAC,An unplanned overnight shelter in the open without a tent,medium
BLISTER,A fluid-filled pocket on the skin caused by friction from boots,easy
BOULDER,A large rock problem climbed close to the ground without ropes,easy
BUTTRESS,A prominent mass of rock projecting from a mountain face,medium
CAIRN,A human-built stack of stones marking a trail or summit,easy
CALORIE,A unit of energy important for sustaining effort at altitude,easy
CAMMING,A spring-loaded protection device expanding into rock cracks,medium
CATCHMENT,A basin collecting water from surrounding slopes,medium
CHIMNEY,A narrow rock cleft climbed by bridging between opposing walls,easy
COL,A mountain pass or saddle between two peaks,easy
COMPASS,A navigation instrument indicating magnetic north,easy
CONTOUR,A map line connecting points of equal elevation,medium
CORNICE,An overhanging mass of wind-deposited snow on a ridge,medium
COULOIR,A steep mountain gully or snow-filled chute,medium
CRAMPON,A spiked metal frame strapped to boots for grip on ice,medium
CREVASSE,A deep crack in a glacier surface,medium
DEADMAN,An anchor buried in snow to secure a rope,medium
DESCENT,The route taken from the summit back to base,easy
DYNEEMA,An ultra-light high-strength fiber used in climbing equipment,medium
EDGING,Climbing technique placing the edge of the boot on a small hold,medium
ELEVATION,The vertical distance above sea level,medium
EXPOSURE,The degree of danger from a potential fall on steep terrain,medium
FACE,A steep broad expanse of rock or ice on a mountain,easy
FIXED,A rope permanently attached to the mountain for repeated use,easy
FOOTWEAR,Boots and shoes selected for the specific terrain being crossed,medium
FROSTBITE,Tissue damage caused by extreme cold and freezing,medium
GAITERS,Fabric coverings worn over boots to keep out snow and debris,medium
GLACIAL,Relating to or shaped by the action of glaciers,medium
GLACIER,A slow-moving mass of ice formed from accumulated snowfall,medium
GPS,A satellite navigation system providing precise location data,easy
GRADIENT,The steepness of a slope expressed as a percentage or angle,medium
HEADLAMP,A light worn on the forehead freeing both hands during a climb,medium
HIGHLINE,A slacklining practice rigged at extreme height between peaks,medium
HYPOTHERMIA,Dangerously low body temperature caused by prolonged cold exposure,hard
ICEFALL,A section of glacier where ice breaks into chaotic seracs,medium
JUMAR,A mechanical device clamped to a fixed rope for ascending it,easy
LAYERING,The system of wearing multiple adjustable clothing layers,medium
LEDGE,A narrow horizontal rock shelf providing a stance or campsite,easy
LINE,The chosen route up a face or the rope connecting two climbers,easy
MAGNETIC,Relating to the compass direction pulled toward the earth's poles,medium
MAP,A scaled representation of terrain used for route planning,easy
MORAINE,A ridge of rock debris deposited along the edge of a glacier,medium
MOUNTAINEER,A person who climbs mountains as a sport or pursuit,hard
NAVIGATION,Finding and following a route using map compass and landmarks,hard
OBJECTIVE,A hazard beyond the climber's control such as rockfall,medium
OFF,Walking or climbing on terrain not following a marked trail,easy
OVERHANG,A section of rock angled beyond vertical,easy
PACE,A consistent walking speed used to estimate distance traveled,easy
PEAK,The highest point of a mountain,easy
PITCH,One rope-length section of a climb between belay points,easy
PITON,A metal spike hammered into a rock crack as protection,easy
PORTALEDGE,A hanging tent suspended from anchors for sleeping on vertical walls,hard
QUICKDRAW,Two carabiners connected by a short sling used to clip protection,medium
RACK,The collection of protection gear carried on a climbing harness,easy
RAPPEL,Descending a rope using a friction device,easy
RATION,A measured daily portion of food for mountaineering expeditions,easy
ROUTE,The planned or taken path up or across a mountain,easy
RUNNEL,A small stream or channel of meltwater on a snow slope,easy
SCRAMBLE,Climbing steep terrain using both hands and feet without ropes,easy
SERAC,A tower or block of ice formed where a glacier fractures,medium
SHELTER,A location or structure offering protection from wind and weather,easy
SNOWFIELD,A broad permanent area of flat snow above the snowline,medium
SNOWLINE,The altitude above which snow remains year-round,medium
STANCE,A secure ledge where a climber stops to belay their partner,easy
SUMMIT,The highest point of a mountain,easy
SWITCHBACK,A zigzagging trail reversing direction to gain elevation gradually,medium
TALUS,A slope of coarse angular rock fragments at the base of a cliff,medium
TERRAIN,The physical features and character of the land being traversed,medium
TRAD,Traditional climbing placing and removing all protection gear,easy
TRAVERSE,To move horizontally across a face rather than straight up,easy
TREE,A line used to haul gear up a vertical face,easy
TREKKING,Long-distance walking through wilderness or mountain regions,medium
VERGLAS,A thin invisible layer of ice coating exposed rock,medium
WATERFALL,A frozen cascade of ice providing a technical winter climbing route,medium
WINDWARD,The side of a ridge or peak facing directly into the prevailing wind,medium
