word,clue,difficulty
ACCENT,Emphasizing a beat that would not normally receive stress,easy
ALTO,The smaller of the two main saxophone types,easy
BANDSTAND,A raised platform where musicians perform in a club or park,medium
BEBOP,A fast complex jazz style developed in the 1940s,easy
BENT,A note pushed slightly above or below its normal pitch,easy
BLUE,A flattened third fifth or seventh note used in jazz and blues,easy
BOOGIE,A percussive rolling bass piano style built on repetitive patterns,medium
BOSSA,A Brazilian jazz fusion style blending samba with cool harmonies,easy
BRASS,A family of wind instruments including trumpet and trombone,easy
BRIDGE,The contrasting middle section of a standard song form,easy
CADENCE,A harmonic movement that brings a musical phrase to a close,medium
CALL,A phrase in improvisation answered by another instrument or voice,easy
CHANGES,The chord progression underlying a jazz standard,easy
CHICAGO,A raw electric style of blues that developed in the urban north,medium
CHORD,Three or more notes sounded together forming a harmonic unit,easy
CHORUS,One complete pass through the form of a song,easy
CHROMATIC,Moving in half steps through all twelve notes of the scale,medium
COMPING,The rhythmic and harmonic accompaniment played by a pianist or guitarist,medium
COOL,A laid-back understated jazz style that developed in the late 1940s,easy
DELTA,The rural acoustic blues style originating in the Mississippi region,easy
DOWNBEAT,The first and strongest beat of a musical measure,medium
DRONE,A sustained note held beneath a melody or improvisation,easy
ELLINGTON,A pianist and bandleader who defined the sound of swing era jazz,hard
FEEL,The rhythmic groove and emotional character of a performance,easy
FLATTED,Lowering a note by a half step particularly the fifth or seventh,medium
FLUGELHORN,A mellower valved brass instrument related to the trumpet,hard
FORM,The repeating structural pattern over which jazz musicians improvise,easy
FRET,A raised metal strip on a guitar neck marking a specific pitch,easy
FUNK,A rhythmically intense groove-based style related to soul music,easy
GROOVE,A steady infectious rhythmic feel driving a performance,easy
GROWL,A rasping vocal-like tone produced on a brass instrument,easy
GUITAR,A stringed instrument central to blues and rhythm sections,easy
HARP,The informal name for a blues harmonica,easy
HARLEM,The New York neighborhood that became a center of jazz culture,medium
HARMONIC,Relating to the chord structure underlying a melody,medium
HARMONY,The simultaneous sounding of notes to create chords,medium
HEAD,The melody statement played at the start and end of a jazz piece,easy
IMPROVISE,To compose and perform music spontaneously in the moment,hard
INTERVALS,The distances between two notes measured in steps or half steps,medium
JAZZ,An American music form built on improvisation swing and blues,easy
LICK,A short practiced melodic phrase used in improvisation,easy
LINER,The informational notes printed inside an album sleeve,easy
LYRIC,The words sung over a melody in vocal jazz,easy
MINOR,A scale or chord with a lowered third giving a darker sound,easy
MODAL,A jazz approach using scales rather than chord changes as a basis,medium
MUTE,A device inserted in a brass bell to alter the tone and volume,easy
OBLIGATO,A countermelody woven around the main vocal line,hard
PENTATONIC,A five-note scale forming the foundation of blues melody,hard
PHRASE,A complete musical thought analogous to a sentence,easy
PIANO,The central harmonic and rhythmic instrument in jazz combos,easy
POLYRHYTHM,The layering of two or more contrasting rhythmic patterns,hard
QUARTET,An ensemble of four musicians,medium
RAGTIME,A syncopated piano style that preceded jazz in the early 1900s,medium
RIFF,A short repeated melodic or rhythmic phrase,easy
RHYTHM,The organized pattern of beats and accents in music,easy
RIFF,A short catchy repeated phrase used in ensemble arrangements,easy
SCAT,Improvised wordless singing using nonsense syllables,easy
SHUFFLE,A blues rhythm pattern with a swinging triplet feel,medium
SOLO,A featured improvised passage by a single musician,easy
STANDARD,A well-known song that has become part of the jazz repertoire,medium
STRIDE,A piano style alternating bass notes and chords in the left hand,easy
SWING,The rhythmic feeling created by playing notes slightly behind the beat,easy
SYNCOPATION,Placing rhythmic accents on normally weak beats,hard
TENOR,The larger and deeper of the two main saxophone types,easy
TIMBRE,The distinctive tonal quality that identifies an instrument's voice,medium
TRADING,Improvising in alternating short phrases between two musicians,medium
TREMOLO,A rapid repetition of a note creating a wavering effect,medium
TRUMPET,The leading melodic brass instrument of jazz,medium
TURNAROUND,A short harmonic sequence that leads back to the top of the form,medium
UPRIGHT,A stand-up acoustic bass played with the fingers or a bow,medium
VIBRATO,A slight pitch oscillation added to sustain a note expressively,medium
VOCALISE,A wordless vocal performance treating the voice as an instrument,hard
WALKING,A bass line moving in steady quarter notes through the chord changes,medium
