word,clue,difficulty
AERIAL,A maneuver launching the board above the lip of the wave,medium
AGGRO,Aggressive or hostile behavior in the lineup,easy
BACKSIDE,Surfing with the back facing the wave,medium
BAIL,To deliberately jump off the board to avoid a wipeout,easy
BARREL,The hollow cylindrical tunnel formed inside a breaking wave,easy
BEACH,A break where waves form over a sandy seabed,easy
BENNY,An inexperienced tourist surfer disrupting the lineup,easy
BLANK,An unfinished foam block shaped into a surfboard,easy
BLOWN,Describing messy conditions from wind hitting the wave face,easy
BODYBOARD,A short foam board ridden lying prone on the stomach,medium
BOMB,An exceptionally large and powerful set wave,easy
BOOTIES,Neoprene foot coverings worn in cold water conditions,medium
BOTTOM,The initial downward ride across the wave face before turning,easy
BREAK,The zone where waves consistently rise and fall,easy
BRINE,The cold salty seawater environment surfers paddle through,easy
CARVE,A powerful arcing turn driven through the wave with the fins,easy
CHANNEL,The deeper water beside the break where paddling out is easier,easy
CHOPPY,Describing rough irregular surface conditions caused by wind,easy
CLEAN,Describing smooth well-formed wave conditions with light offshore wind,easy
CLOSEOUT,A wave breaking along its full length simultaneously preventing a ride,medium
CORD,The leash connecting the board to the surfer's ankle,easy
CORE,A highly dedicated and experienced surfer central to the local culture,easy
CREST,The peak or highest point of a wave,easy
CROSS,Stepping the feet across each other to move along the board,easy
CURL,The curling lip of a breaking wave,easy
CUTBACK,A turn redirecting from the shoulder back toward the breaking curl,medium
DAWN,The early morning surf session often before crowds arrive,easy
DECK,The top surface of a surfboard on which the surfer stands,easy
DING,A small crack or dent in the fiberglass surface of a surfboard,easy
DOUBLE,A rapid change of direction carving in the opposite arc,medium
DROP,The initial descent down the face of a wave at the takeoff,easy
DUCK,Pushing the board beneath an incoming wave while paddling out,easy
EEL,A flexible leash swivel preventing the cord from tangling,easy
EPOXY,A resin used to shape lighter stronger modern surfboards,medium
FACE,The unbroken sloping front surface of a wave,easy
FIN,A hydrofoil blade on the underside of the board providing drive,easy
FLOATER,A move riding over the breaking section of the wave's lip,medium
FOAM,The white water remaining after a wave has broken,easy
FRONTSIDE,Surfing with the chest facing the wave,medium
GOOFY,A stance with the right foot forward as the lead foot,easy
GRAB,A maneuver holding the board's rail during an aerial,easy
GREEN,An unbroken wave still holding its smooth face before it pitches,easy
GROM,A young junior surfer typically under eighteen years old,easy
GROUNDSWELL,A long-period swell generated far offshore traveling great distances,medium
GUN,A long narrow board designed for very large powerful waves,easy
HANG,Curling the toes over the nose of the board in a classic style,easy
HOLLOW,Describing a steep fast-breaking wave that pitches hard,easy
IMPACT,The zone directly in front of where waves are breaking hardest,medium
INSIDE,The area of water between the shore and the main break,easy
KOOK,A novice surfer unaware of etiquette and safety in the lineup,easy
LIP,The thin top edge of the wave curling forward as it breaks,easy
LOCAL,A surfer with established priority in a particular break's lineup,easy
LONGBOARD,A surfboard over nine feet providing stable noseriding ability,medium
LULL,A temporary pause between sets of waves,easy
MACKER,An exceptionally large and heavy wave,easy
MUSH,A slow weak crumbling wave lacking power and form,easy
NEOPRENE,The insulating synthetic rubber used to make wetsuits,medium
NOSE,The forward tip of a surfboard,easy
OFFSHORE,Wind blowing from land toward the ocean grooming wave faces clean,medium
ONSHORE,Wind blowing from the ocean onto land and degrading wave quality,medium
OUTSIDE,The deep-water zone beyond where waves are currently breaking,easy
OVERHEAD,A wave height greater than the rider's standing height,medium
PADDLE,The arm stroke used to propel the board through the water,easy
PEAK,The highest point of the wave where it first starts to break,easy
PEARL,To nose-dive and be driven under the water by the wave,easy
PERIOD,The time in seconds between successive wave crests,easy
POINT,A break where waves wrap around a rocky headland or point,easy
POP,The rapid jump from lying to standing during a takeoff,easy
PRONE,The lying-down position used while paddling a surfboard,easy
QUIVER,A surfer's personal collection of boards for different conditions,easy
RAIL,The side edge of a surfboard from nose to tail,easy
REEF,A break where waves form over a rocky or coral seabed,easy
REGULAR,A stance with the left foot forward as the lead foot,medium
RIP,A dangerous current flowing swiftly away from shore,easy
SESSION,A period of time spent surfing,easy
SET,A group of larger waves arriving after a period of smaller ones,easy
SHAPER,A craftsperson who designs and forms surfboards by hand,easy
SHOAL,A shallow elevated area where waves begin to steepen and break,easy
SHORE,A breaking wave that rolls unbroken all the way to the beach,easy
SHOULDER,The sloping unbroken section of the wave beside the curl,easy
SNAP,A sharp quick radical turn off the top of the wave,easy
STALL,To slow the board deliberately to drop deeper into the barrel,easy
SWELL,A series of waves generated by distant storm energy,easy
TAIL,The rear end of a surfboard affecting its release and turning,easy
TROUGH,The lowest point of a wave between the crest and the shore,easy
TUBE,The hollow cylindrical space formed inside a pitching wave,easy
WIPEOUT,A fall from the board often caused by losing balance or control,medium
