word,clue,difficulty
ACCESSORY,A supplemental exercise targeting a specific muscle,hard
ADAPTATION,The body's process of growing stronger in response to training,hard
AMRAP,A training format meaning as many reps or rounds as possible,medium
BACK,A squat variation with the bar resting across the upper back,easy
BAND,An elastic loop used to add resistance or assist a lift,easy
BAR,The steel shaft onto which weight plates are loaded,easy
BARBELL,A long steel bar loaded with weight plates at each end,medium
BELT,A wide supportive strap worn around the waist during heavy lifts,easy
BENCH,A horizontal pressing movement performed lying on a flat surface,easy
BLOCK,A raised platform used to start a pull from an elevated position,easy
BRACE,To tighten the core musculature before and during a heavy lift,easy
BULGARIAN,A single-leg squat variation with the rear foot elevated,medium
BUMPER,A rubber-coated plate that can safely be dropped from overhead,medium
CABLE,A machine using a weighted stack and pulley system for exercise,easy
CALORIES,Units of energy burned during training and required for recovery,medium
CHIN,An upper body pull where the palms face toward the body,easy
CIRCUIT,A training format moving continuously between multiple exercises,medium
CLEAN,An Olympic lift pulling the bar from the floor to the shoulders,easy
CLUSTER,A technique pausing briefly between reps within a single set,medium
COLLAR,A metal clamp securing weight plates to the end of a barbell,easy
COMPLEX,A series of barbell exercises performed without setting the bar down,medium
COMPOUND,An exercise that engages multiple joints and muscle groups,medium
CONCENTRIC,The muscle-shortening phase of a lift when force is produced,hard
CONJUGATE,A periodization method alternating maximal and dynamic effort,medium
CONVENTIONAL,A deadlift stance with hands outside the knees,hard
CURL,A bending movement isolating the biceps against resistance,easy
DEADLIFT,Pulling a loaded barbell from the floor to a standing position,medium
DEFICIT,A variation starting from a lower position to increase range,medium
DELOAD,A planned recovery week using reduced training volume or load,medium
DUMBBELL,A short-handled weight held individually in each hand,medium
DYNAMIC,Training using submaximal loads moved with maximal speed,medium
ECCENTRIC,The muscle-lengthening phase when lowering the weight,hard
FAILURE,The point where another complete repetition cannot be performed,medium
FAT,A thick bar variation that increases grip demand during lifts,easy
FLOOR,A pressing movement performed lying flat on the ground,easy
FORM,The technique and body positioning used to execute a lift safely,easy
FRONT,A squat variation holding the bar across the front of the shoulders,easy
GOBLET,A squat holding a single dumbbell or kettlebell at chest height,medium
GRIP,The way the hands are positioned on the bar during a lift,easy
HAMSTRING,The muscle group at the back of the thigh targeted by hip hinges,medium
HANG,A lift variation starting from the hips or knees rather than the floor,easy
HOOK,A grip style where the thumb is trapped beneath the fingers,easy
HYPEREXTENSION,A lower back exercise extending over a padded bench,hard
INCLINE,A pressing movement on a bench angled upward toward the head,medium
INTENSITY,The percentage of a lifter's one-rep maximum used in training,medium
INTERVAL,A timed work-to-rest training structure,medium
ISOLATION,An exercise working a single joint and muscle group alone,hard
JERK,The second movement of the clean-and-jerk where the bar is locked overhead,easy
KETTLEBELL,A cast-iron weight with a handle used for swings and presses,medium
KNEES,Cues referring to driving the knee outward during squat movements,easy
LANDMINE,A barbell anchored at one end allowing rotational pressing,medium
LATERAL,A side-raising movement targeting the shoulder deltoid,medium
LOAD,The total weight being lifted during an exercise,easy
LOCKOUT,The final fully extended position at the top of a press or pull,medium
LUNGE,A stepping exercise loading the quads glutes and hamstrings,easy
MAXIMAL,Describing a lift performed at or near one hundred percent effort,medium
MOBILITY,The range of motion available at a joint during movement,medium
OVERHEAD,A pressing movement where the barbell is pushed above the head,medium
PAUSED,A technique stopping momentarily at the bottom of a movement,easy
PERIODIZATION,Systematic cycling of training variables over time,hard
PLATES,The circular weights loaded onto a barbell,easy
POWER,A pulling lift catching the bar in a partial squat position,easy
PRESS,Pushing a weight upward against resistance,easy
PROGRAM,A structured training plan organized over weeks or months,medium
PROGRESSIVE,Gradually increasing load or volume to drive continued adaptation,hard
PULLOVER,A movement lowering a weight behind the head while lying down,medium
RACK,A steel structure used to safely hold a loaded barbell,easy
RANGE,The full distance of movement through a joint during an exercise,easy
REP,One complete execution of an exercise movement,easy
ROW,A pulling movement drawing the bar toward the torso,easy
SAFETY,The catch bars on a power rack preventing a failed lift from crushing,medium
SET,A group of consecutive repetitions performed without rest,easy
SHRUG,A trapping movement elevating the shoulders with a heavy load,easy
SNATCH,An Olympic lift pulling the bar overhead in one continuous movement,easy
SPOTTER,A training partner who assists and supervises heavy sets,medium
SQUAT,A lower body exercise bending the knees under a loaded barbell,easy
STANCE,The foot width and toe angle used during squat and deadlift,easy
SUMO,A wide-stance deadlift with hands gripping inside the knees,easy
SUPERSETS,Pairing two exercises performed back to back without rest,medium
TEMPO,The controlled speed at which a lift is performed,easy
TRAP,A short hexagonal bar used for deadlifts and farmer carries,easy
UNILATERAL,An exercise training one limb independently at a time,hard
VOLUME,The total amount of work measured in sets reps and load,medium
