word,clue,difficulty
ACROPOLIS,A fortified hilltop citadel overlooking a Greek city,hard
AGORA,An open public gathering space at the heart of a Greek city,medium
AMULET,A charm worn to protect the wearer from evil or misfortune,medium
AMPHORA,A tall two-handled ceramic vessel used to store wine or oil,medium
ANKH,An Egyptian cross-like symbol representing life,easy
AQUEDUCT,A channel built to carry fresh water across long distances,medium
ARCH,A curved structural form perfected by Roman engineers,easy
BABYLON,The ancient city famous for its hanging gardens and ziggurats,medium
BARTER,The exchange of goods without the use of money,easy
CANOPIC,A jar used to store the preserved organs of a mummy,medium
CARTHAGE,A powerful North African city destroyed by Rome in 146 BC,medium
CATACOMB,An underground cemetery used by early Romans and Christians,medium
CENSUS,An official count of a population conducted by Roman rulers,easy
CHISEL,A stone-cutting tool used by sculptors and masons,easy
CITY,A fortified urban settlement that served as a regional capital,easy
CLAY,The material used to make tablets for cuneiform writing,easy
COLOSSEUM,The massive Roman amphitheater hosting gladiatorial contests,hard
COLUMN,A vertical stone pillar used in Greek and Roman temples,easy
CONQUEST,The military taking of territory by force,medium
CONSUL,One of two annually elected leaders of the Roman Republic,medium
CUNEIFORM,The wedge-shaped writing system of ancient Mesopotamia,hard
DRACHMA,A silver coin used as currency in ancient Greece,medium
DYNASTY,A succession of rulers from the same family line,medium
EDICT,An official decree issued by a ruler with legal force,medium
EMPEROR,The supreme ruler of a large empire such as Rome or China,medium
EMPIRE,A large territory controlled by a single dominant state,medium
FORUM,The central public square of an ancient Roman city,easy
FRESCO,A wall painting made by applying pigment to wet plaster,medium
GLADIATOR,A trained fighter who competed in Roman arena spectacles,hard
GREEK,Of or relating to the ancient civilization centered on Athens and Sparta,easy
HAMMURABI,A Babylonian king famous for his early written legal code,hard
HIEROGLYPH,A pictorial symbol used in ancient Egyptian writing,hard
HOPLITE,A heavily armed infantry soldier of ancient Greece,medium
IBIS,A wading bird sacred to the Egyptian god Thoth,easy
IMMORTAL,A member of the elite ten thousand Persian royal guard,medium
INSCRIPTION,Text carved into stone or metal to record an event or dedication,hard
ISIS,The Egyptian goddess of magic healing and motherhood,easy
JULIUS,The Roman dictator whose assassination led to civil war,medium
LEGION,A large division of the Roman army numbering several thousand,medium
LYRE,A small stringed instrument played in ancient Greece and Rome,easy
MARATHON,The Greek plain where Athens defeated Persia in 490 BC,medium
MOSAIC,An image or pattern created from small pieces of colored stone,medium
MUMMY,A preserved human body prepared through Egyptian embalming,easy
NILE,The river whose annual flooding sustained Egyptian civilization,easy
OBELISK,A tall tapering stone monument carved by ancient Egyptians,medium
ORACLE,A priestess who delivered prophecies at a sacred Greek shrine,medium
OSTRACISM,The Athenian practice of banishing citizens by popular vote,hard
PAPYRUS,A writing material made from the stems of a marsh plant,medium
PATRICIAN,A member of the aristocratic ruling class of ancient Rome,medium
PHARAOH,The divine ruler of ancient Egypt,medium
PHILOSOPHY,The Greek tradition of rational inquiry into existence and knowledge,hard
PLEBEIAN,A common citizen of ancient Rome outside the noble class,medium
POLIS,A self-governing city-state in ancient Greece,medium
POMPEII,The Roman city buried and preserved by a volcanic eruption,medium
PYRAMID,A monumental tomb built for Egyptian pharaohs,medium
RELIEF,A carved image that projects outward from a flat stone surface,easy
REPUBLIC,A system of government Rome used before the imperial period,medium
RHETORIC,The Greek art of persuasive public speaking,medium
ROME,The city that grew from a village to control the Mediterranean world,easy
ROSETTA,The stone whose trilingual inscription unlocked hieroglyphs,medium
SACRIFICE,An offering of food animals or goods made to appease the gods,medium
SARCOPHAGUS,A stone coffin used to encase the mummified dead,hard
SATRAP,A governor appointed to rule a province of the Persian Empire,medium
SCROLL,A rolled manuscript used before the invention of the bound book,easy
SENATE,The governing council that advised and legislated in ancient Rome,medium
SLAVE,A person owned as property and forced to work without wages,easy
SPHINX,A mythological creature with a human head and lion's body,medium
STELE,An upright stone slab carved with inscriptions or images,medium
STOIC,A Greek philosophical school teaching reason over emotion,easy
TEMPLE,A sacred building constructed as a dwelling for a god,easy
TERRACOTTA,Fired clay used for sculpture pottery and roof tiles,medium
TOGA,A draped woolen garment worn by male citizens of Rome,easy
TRIBUTE,Goods or money paid by a conquered people to their ruler,medium
TRIREME,An ancient Greek warship powered by three banks of oarsmen,medium
ZIGGURAT,A stepped pyramid temple built in ancient Mesopotamia,medium
