word,clue,difficulty
ASH,A tree whose wood burns well when green,easy
BAY,A sheltered inlet along a coastline,easy
BOG,A waterlogged spongy wetland,easy
BUR,A prickly seed casing that clings to fur,easy
CAP,The top of a mushroom,easy
COB,The central spike of a corn plant,easy
DEW,Moisture that settles on grass at dawn,easy
DUN,A dull grayish brown earthy color,easy
ELM,A tall shade tree with arching branches,easy
FEN,Low marshy ground fed by streams,easy
FLOE,A sheet of floating sea ice,easy
FROND,A large divided leaf of a fern or palm,easy
GILL,The breathing organ of a fish,easy
GORSE,A spiky yellow-flowered shrub,easy
HAIL,Pellets of frozen rain falling from clouds,easy
KELP,A large brown seaweed of cold coastal waters,easy
LOCH,A Scottish lake or sea inlet,easy
MARL,A crumbly soil rich in calcium carbonate,easy
MOOR,An open windswept upland of heather,easy
PEAT,Decomposed plant matter cut as fuel,easy
REEF,A ridge of coral near the ocean surface,easy
RIME,Frost formed from frozen fog on surfaces,easy
SCREE,Loose rock debris at the foot of a cliff,easy
SHOAL,A shallow area of water hiding rocks,easy
SILT,Fine sediment deposited by flowing water,easy
SPORE,A tiny reproductive cell of a fungus or fern,easy
TARN,A small mountain lake in a glacial hollow,easy
TURF,The surface layer of soil bound by grass roots,easy
WREN,A tiny brown bird with an upright tail,easy
YEW,A dark evergreen tree with red berries,easy
ALPINE,Growing or living in high mountain zones,medium
BADGER,A burrowing mammal with a striped face,medium
BASALT,A dark volcanic rock from cooled lava,medium
CANOPY,The uppermost layer of a forest,medium
CIRRUS,A thin wispy high-altitude cloud,medium
CLOVER,A low plant with three-lobed leaves,medium
CONDOR,A massive vulture of the Andes peaks,medium
CORAL,A marine invertebrate that builds reefs,medium
COYOTE,A wild member of the dog family in North America,medium
CREVICE,A narrow crack in rock or earth,medium
DELTA,A fan-shaped deposit where a river meets the sea,medium
DINGO,A wild dog native to Australian deserts,medium
FALCON,A fast-diving bird of prey,medium
FOSSIL,Preserved remains of ancient life in rock,medium
FUNGUS,A spore-bearing organism that feeds on decay,medium
GEYSER,A hot spring that periodically erupts steam,medium
GORGE,A narrow steep-sided river valley,medium
GROTTO,A small picturesque cave often near water,medium
HEATHER,A low shrub that carpets moorland in purple,medium
HERON,A long-legged wading bird of shallow waters,medium
LICHEN,A slow-growing crust of fungus and algae on rock,medium
MAGPIE,A black-and-white bird known to collect shiny objects,medium
MANTLE,The layer of earth between crust and core,medium
MEADOW,A field of grass and wildflowers,medium
MIDDEN,An ancient heap of discarded shells and bones,medium
OSPREY,A fish-hunting hawk that dives feet-first,medium
POLLEN,A fine powder released by flowers for fertilisation,medium
RAPIDS,A turbulent stretch of fast-flowing river,medium
RAVINE,A deep narrow gorge carved by water,medium
SEDGE,A grass-like plant growing in wet ground,medium
STRATA,Layers of sedimentary rock laid down over time,medium
TUNDRA,A vast treeless Arctic plain of frozen soil,medium
VERNAL,Relating to or appearing in spring,medium
WATERSHED,A ridge dividing two river drainage areas,hard
ALLUVIAL,Deposited by flowing water over flat land,hard
BIOLUMINESCENCE,Light produced by living organisms in darkness,hard
CARNIVOROUS,An organism that feeds on animal flesh,hard
DECIDUOUS,Trees that shed their leaves each autumn,hard
ESTUARINE,Relating to where a river meets tidal sea,hard
GEOTHERMAL,Heat energy drawn from within the earth,hard
HIBERNATION,A dormant winter state of lowered metabolism,hard
IGNEOUS,Rock formed from cooled molten magma,hard
LITTORAL,The zone between high and low tide marks,hard
MIGRATORY,Describing species that travel seasonally,hard
PERMAFROST,Permanently frozen ground beneath the surface,hard
PHOTOSYNTHESIS,The process plants use to convert sunlight to food,hard
STRATOSPHERE,The atmospheric layer above the troposphere,hard
WEATHERING,The gradual breakdown of rock by natural forces,hard
