word,clue,difficulty
ACIDULATE,To add a small amount of acid to prevent browning,hard
AERATE,To incorporate air into a mixture by whisking or sifting,medium
AL,Cooking pasta until it retains a slight bite at the center,easy
BASTE,To spoon hot fat or liquid over meat during cooking,easy
BEURRE,A sauce made by whisking cold butter into reduced wine vinegar,medium
BIND,To thicken or hold ingredients together with egg or starch,easy
BLANCH,To briefly boil then shock ingredients in ice water,easy
BRAISE,To brown then slowly cook in a small amount of liquid,easy
BRINE,To soak meat in salted water before cooking,easy
BROIL,To cook under direct overhead high heat,easy
BROWN,To develop a golden crust through the Maillard reaction,easy
BUTTERFLY,To cut and open a piece of meat to create an even thickness,medium
CARAMELIZE,To slowly cook sugar or onions until deeply golden and sweet,hard
CARVE,To slice cooked meat along the grain into portions,easy
CHAR,To blacken the surface of a food under intense direct heat,easy
CHIFFONADE,Finely shredded leafy herbs or greens cut in thin ribbons,hard
CLARIFY,To remove solids from butter or stock to make it clear,medium
CRIMP,To seal and decorate pastry edges by pressing,easy
CURE,To preserve food using salt sugar or smoke,easy
DEGLAZE,To add liquid to a hot pan dissolving browned bits,medium
DEMI,A rich reduced stock concentrated to a thick coating consistency,easy
DEVEIN,To remove the dark digestive tract from a shrimp,medium
DICE,To cut food into small equal cubes of a set size,easy
DOCK,To pierce pastry with a fork before baking to prevent puffing,easy
DREDGE,To coat food in flour or breadcrumbs before cooking,easy
EMULSIFY,To combine two unmixable liquids into a stable mixture,hard
FERMENT,To allow microorganisms to transform food over time,medium
FLAMBÉ,To briefly ignite alcohol poured over a dish in the pan,medium
FLUTE,To create a decorative scalloped edge on a pastry shell,easy
FOLD,To gently incorporate a lighter mixture into a heavier one,easy
FOND,The browned residue left in the pan after searing meat,easy
FRENCH,To scrape the meat and fat from the end of a bone,easy
GELATIN,A setting agent derived from collagen used in chilled desserts,medium
GLAZE,To brush a shiny coating onto food before or after cooking,easy
GRATINATE,To finish a dish under the broiler until golden and bubbly,hard
GRIND,To break down dry ingredients into powder using friction,easy
HULL,To remove the outer casing or stem from a fruit,easy
INFUSE,To steep herbs or aromatics in a hot liquid,easy
JULIENNE,To cut food into thin matchstick-shaped strips,medium
KNEAD,To work dough with the hands to develop gluten,easy
LARD,To insert strips of fat into lean meat before roasting,easy
LEAVEN,An agent such as yeast or baking soda that causes dough to rise,medium
LIAISON,A mixture of egg yolk and cream used to enrich and thicken,medium
MACERATE,To soften and flavor fruit by soaking it in sugar or alcohol,hard
MARINATE,To soak food in a flavored liquid before cooking,medium
MINCE,To cut into very fine small pieces,easy
MISE,Having all ingredients prepped and in place before cooking,easy
MIREPOIX,A base of diced onion carrot and celery used for flavor,medium
MOUNT,To finish a sauce by whisking cold butter in at the end,easy
NAPPÉ,A consistency where sauce coats the back of a spoon cleanly,medium
OBLIQUE,Cutting vegetables at a rolling angle for uneven surfaces,medium
PAN,Cooking quickly in a hot pan with a small amount of fat,easy
PARCOOK,To partially cook food before finishing it by another method,medium
PARE,To peel the thin outer skin from fruits or vegetables,easy
PICKLE,To preserve food in brine or an acidic solution,easy
POACH,To gently cook in liquid kept just below a simmer,easy
PROOF,To allow yeast dough to rise before baking,easy
PURÉE,To blend or pass cooked food through a sieve until smooth,easy
REDUCE,To simmer liquid until it thickens through evaporation,easy
RENDER,To melt fat from meat slowly by applying gentle heat,easy
REST,To allow cooked meat to relax so juices redistribute,easy
RIBBON,A thick batter that falls from a whisk in a slow flat stream,easy
ROAST,To cook in dry oven heat with fat until caramelized,easy
SAUTÉ,To quickly cook small pieces in a hot pan with a little fat,easy
SCALD,To heat milk to just below boiling then cool,easy
SCORE,To cut shallow lines in meat or fish skin before cooking,easy
SEAR,To quickly brown the surface of food at high heat,easy
SEASON,To enhance flavor by adding salt pepper and other spices,easy
SHIRR,To bake eggs in a small dish set in cream or butter,easy
SHRED,To pull cooked meat into long thin strands,easy
SIMMER,To cook in liquid kept just below the boiling point,easy
SMOKE,To flavor and cook food using aromatic wood vapors,easy
SPATCHCOCK,To remove the backbone and flatten a bird for even cooking,medium
STEEP,To extract flavor by soaking in hot liquid without boiling,easy
STIR,A quick Asian technique of tossing food in a very hot wok,easy
SWEAT,To gently cook vegetables in fat until soft without browning,easy
TEMPER,To slowly raise the temperature of eggs before adding hot liquid,medium
