word,clue,difficulty
ARCHERY,A sport of shooting arrows at a target from distance,medium
ARTISTIC,A gymnastics discipline judged on skill and presentation,medium
BADMINTON,A racket sport played with a feathered shuttlecock,medium
BASKETBALL,A team sport of scoring by throwing through a high hoop,hard
BEAM,A narrow four-inch wide apparatus in artistic gymnastics,easy
BOCCE,An Italian target-throwing game added to Olympic programs,medium
BOXING,A combat sport of scoring punches within weight classes,medium
BREAKING,A street dance sport added to the Paris Olympic program,medium
CANOEING,A paddle sport navigating flatwater or whitewater courses,medium
CLIMBING,A sport of ascending artificial walls for speed or difficulty,medium
CYCLING,A sport contested on road tracks and velodromes on bikes,medium
DECATHLON,A ten-event athletics competition over two days,hard
DISCUS,A circular weighted plate thrown for distance,medium
DIVING,Jumping from a platform or springboard with acrobatic form,medium
EQUESTRIAN,Horse riding disciplines including dressage and jumping,hard
FENCING,A combat sport using foil épée or sabre blades,medium
FIELD,Events in athletics that are not track races,easy
FLOOR,A gymnastics routine performed on a sprung mat,easy
FOOTBALL,An eleven-a-side team sport known as soccer outside the US,medium
GOLF,A sport of hitting a small ball into holes with clubs,easy
GYMNASTICS,A sport of floor and apparatus routines judged for skill,hard
HAMMER,A weighted ball on a wire thrown for distance,medium
HANDBALL,A seven-a-side team sport throwing a ball into a net,medium
HEPTATHLON,A seven-event combined athletics competition for women,hard
HIGH,A field event where athletes vault over a horizontal bar,easy
HOCKEY,A team sport played on grass with curved sticks and a ball,medium
HURDLES,Races in which athletes jump barriers at set intervals,medium
JAVELIN,A spear-like implement thrown for distance,medium
JUDO,A martial art sport of throwing and pinning opponents,easy
KAYAK,A paddle craft used in sprint and slalom water events,medium
LONG,A field event where athletes leap for horizontal distance,easy
MARATHON,A road race of just over twenty-six miles,medium
MODERN,A combined sport of shooting riding fencing swimming and running,medium
PENTATHLON,A five-discipline combined competition,hard
POLE,A field event using a flexible rod to vault over a bar,easy
POMMEL,A gymnastics apparatus requiring circular swinging arm work,medium
RELAY,A team race where a baton is passed between four runners,medium
RINGS,A gymnastics apparatus suspended from high above the floor,easy
ROWING,A boat racing sport using oars in sweep or sculling style,medium
RUGBY,A contact team sport played seven-a-side at the Olympics,medium
SAILING,A sport of racing boats powered by wind,medium
SHOOTING,A sport of firing at targets with rifles pistols or shotguns,medium
SHOT,A heavy metal ball thrown from a ring for distance,easy
SKATEBOARDING,A street and park discipline scored on trick execution,hard
SOFTBALL,A bat-and-ball team sport using an underarm pitch,medium
SPRINT,A short-distance running race decided in seconds,medium
STEEPLECHASE,A middle-distance race including water jumps and barriers,hard
SURFING,A sport of riding ocean waves on a board,medium
SWIMMING,A sport of racing in pools using four main strokes,medium
SYNCHRONIZED,A swimming or diving discipline requiring matched timing,hard
TABLE,A racket sport played on a small indoor table,easy
TAEKWONDO,A Korean striking martial art using mainly foot techniques,hard
TENNIS,A racket sport played on clay grass or hard courts,medium
TRACK,Events in athletics that are contested as running races,easy
TRAMPOLINE,A gymnastics discipline of bouncing and performing tricks,hard
TRIATHLON,A combined race of swimming cycling and running,hard
TRIPLE,A field event where athletes hop step and jump for distance,medium
TUG,A team strength event that appeared in early Olympic Games,easy
VAULT,A gymnastics apparatus where athletes launch off a springboard,medium
VOLLEYBALL,A team net sport played on sand or indoor courts,hard
WATER,A polo team sport played in a swimming pool,easy
WEIGHTLIFTING,A strength sport of lifting a barbell overhead,hard
WRESTLING,A grappling sport in freestyle and Greco-Roman styles,medium
BIATHLON,A winter sport combining cross-country skiing and shooting,hard
BOBSLED,A team sled racing down an iced banked track at speed,medium
CURLING,A precision ice sport of sliding stones toward a target,medium
LUGE,A solo sled sport of feet-first riding on an iced track,easy
NORDIC,A ski discipline combining cross-country racing and jumping,medium
SKELETON,A solo head-first sled racing down an iced banked channel,medium
SLALOM,A discipline requiring tight turns between closely set gates,medium
SNOWBOARD,A sliding sport on a single wide board across snow,medium
SPEED,An ice skating discipline racing against the clock,easy
