word,clue,difficulty
ACHILLES,The Greek hero whose only vulnerability was his heel,medium
AESIR,The principal gods of Norse mythology led by Odin,medium
AFTERLIFE,The realm where souls travel following death,medium
AJAX,A powerful Greek warrior who fought in the Trojan War,easy
AMBROSIA,The food of the Greek gods granting immortality,medium
ANUBIS,The jackal-headed Egyptian god of death and embalming,medium
APOLLO,The Greek god of the sun music and prophecy,medium
ARES,The Greek god of war and conflict,easy
ARTEMIS,The Greek goddess of the hunt and the moon,medium
ASGARD,The realm of the Norse gods connected to Earth by a rainbow bridge,medium
ATHENA,The Greek goddess of wisdom and strategic warfare,medium
ATLAS,The Titan condemned to hold up the sky for eternity,easy
AVALON,The mystical island where King Arthur was taken after his final battle,medium
CENTAUR,A mythological creature with a human torso and a horse's body,medium
CERBERUS,The three-headed dog guarding the entrance to the Greek underworld,medium
CHAOS,The formless void existing before creation in Greek mythology,easy
CHIMERA,A fire-breathing creature combining lion goat and serpent parts,medium
CYCLOPS,A one-eyed giant encountered by Odysseus in Homer's epic,medium
DAEDALUS,The craftsman who built the labyrinth and fashioned wax wings,medium
DEMETER,The Greek goddess of the harvest and agriculture,medium
DIONYSUS,The Greek god of wine ecstasy and theater,medium
DRAGON,A large fire-breathing reptilian creature in many mythologies,easy
DRUID,A priestly class in Celtic mythology serving as seers and judges,medium
ELYSIUM,The paradise in the Greek underworld reserved for heroic souls,medium
EXCALIBUR,The magical sword drawn from the stone by King Arthur,medium
FATES,The three Greek goddesses spinning measuring and cutting life's thread,easy
FENRIR,The monstrous wolf in Norse mythology destined to swallow Odin,medium
FURIES,The Greek underworld spirits who punished oathbreakers,easy
GAIA,The primordial goddess personifying the earth in Greek myth,easy
GILGAMESH,The legendary Sumerian king hero of the world's oldest epic,medium
GRIFFIN,A creature with the body of a lion and the head and wings of an eagle,medium
HADES,The Greek god of the underworld and brother of Zeus,easy
HECATE,The Greek goddess of magic crossroads and the night,medium
HEPHAESTUS,The Greek god of fire and the forge,medium
HERA,The queen of the Greek gods and goddess of marriage,easy
HERMES,The Greek messenger god also guiding souls to the underworld,medium
HERO,A mortal who achieves greatness often with divine assistance,easy
HYDRA,A multi-headed serpent regenerating two heads for each one cut off,easy
ICARUS,The boy who flew too close to the sun on wings of wax and feathers,medium
JANUS,The Roman god of beginnings doorways and transitions,easy
JUNO,The Roman queen of the gods equivalent to Hera,easy
LABYRINTH,The underground maze built to contain the Minotaur,medium
LOKI,The trickster shape-shifter of Norse mythology,easy
MEDUSA,The Gorgon whose gaze turned onlookers to stone,easy
MERCURY,The Roman messenger god equivalent to Hermes,medium
MIDAS,The king granted the wish that everything he touched turned to gold,easy
MINOTAUR,The creature with a human body and a bull's head in the labyrinth,medium
MUSE,One of nine Greek goddesses inspiring artists poets and thinkers,easy
NARCISSUS,The youth who fell in love with his own reflection,medium
NEMESIS,The Greek goddess of retribution and divine revenge,medium
NEPTUNE,The Roman god of the sea equivalent to Poseidon,medium
NYMPH,A nature spirit inhabiting rivers forests or mountains,easy
ODIN,The chief god of the Norse pantheon associated with wisdom,easy
ODYSSEUS,The cunning Greek hero whose journey home took ten years,medium
OLYMPUS,The sacred mountain dwelling of the Greek gods,medium
ORACLE,A priest or priestess through whom a god was said to speak,medium
ORPHEUS,The legendary musician whose lyre charmed even the underworld,medium
OSIRIS,The Egyptian god of the afterlife and resurrection,medium
PANDORA,The first woman whose curiosity released all evils into the world,medium
PEGASUS,The winged horse born from the blood of Medusa,medium
PERSEPHONE,The goddess taken to the underworld whose absence causes winter,hard
PHOENIX,A bird that cyclically burns to ashes and is reborn from them,medium
POSEIDON,The Greek god of the sea earthquakes and horses,medium
PROMETHEUS,The Titan who stole fire from the gods to give to humanity,medium
RA,The sun god and most important deity of ancient Egypt,easy
RAGNAROK,The Norse apocalyptic battle that destroys and renews the world,medium
SIREN,A creature whose irresistible singing lured sailors to shipwreck,easy
SPHINX,The Egyptian creature that posed riddles to travelers,medium
STYX,The river in the Greek underworld that souls crossed after death,easy
TARTARUS,The deepest pit of punishment in the Greek underworld,medium
THOR,The Norse god of thunder wielding the hammer Mjolnir,easy
TITANS,The elder gods overthrown by Zeus and the Olympians,medium
TRICKSTER,An archetype using cunning and deception to subvert order,medium
TROJAN,The war sparked by Paris and Helen that united Greek heroes,medium
VALKYRIE,A Norse female figure choosing who lives and dies in battle,medium
VALHALLA,The hall in Asgard where warriors slain in battle feasted forever,medium
ZEUS,The king of the Greek gods who ruled from Olympus,easy
