word,clue,difficulty
ABHYASA,The Sanskrit term for disciplined consistent practice,medium
AHIMSA,The principle of non-violence toward all living beings,medium
ALIGNMENT,The proper positioning of the body in a yoga posture,medium
ANANDA,The Sanskrit word for bliss or pure joy,easy
APANA,The downward-moving energy associated with elimination and grounding,hard
ASANA,The Sanskrit term for a yoga posture or seat,medium
ASHTANGA,A dynamic yoga style linking breath to a set sequence of postures,hard
AWARENESS,The quality of clear mindful attention to the present moment,medium
AYURVEDA,The traditional Indian system of health science linked to yoga,hard
BACKBEND,A yoga posture arching the spine backward opening the chest,medium
BALANCE,A standing posture requiring stillness and concentration,easy
BANDHA,An internal muscular lock directing the flow of energy,medium
BHAKTI,A devotional path of yoga focused on love and surrender,medium
BINDU,The dot of focused awareness or a specific point in meditation,medium
BOLSTER,A firm cylindrical cushion supporting the body in restorative postures,medium
BREATH,The controlled rhythmic movement of air linking body and mind,easy
BRIDGE,A backbending posture lifting the hips while feet stay grounded,easy
CHAKRA,One of seven energy centers aligned along the spine,medium
CHANT,Repetitive vocal sound used in meditation and devotional practice,easy
CHILD,A resting posture with the forehead to the floor and arms forward,easy
CLARITY,The quality of mental stillness and unclouded perception,medium
COBRA,A prone backbend lifting the chest using the back muscles,easy
COMPASSION,The quality of empathy and care extended to oneself and others,medium
CONCENTRATION,The focused gathering of mental attention on a single point,hard
CORPSE,The final relaxation posture lying flat and still at the end of practice,easy
CROW,An arm balance resting the shins on the upper arms,easy
DHARANA,The sixth limb of yoga meaning concentrated attention,hard
DHARMA,One's duty purpose or path in alignment with universal order,medium
DHYANA,The seventh limb of yoga meaning uninterrupted meditation,hard
DRISHTI,A fixed gazing point used to steady the mind during practice,medium
EAGLE,A balancing posture wrapping arms and legs around each other,easy
EQUANIMITY,A calm and composed state of mind undisturbed by events,hard
EXHALE,The release of breath used to deepen relaxation and release,easy
FLOW,A yoga style linking postures in a continuous moving sequence,easy
FORWARD,A posture hinging from the hips to bring the torso toward the legs,easy
GROUNDING,The feeling of stability and connection to the earth in practice,medium
GURU,A spiritual teacher guiding a student toward liberation,easy
HALF,A seated twist or forward fold practiced to one side of the body,easy
HATHA,The branch of yoga using physical postures and breath practices,medium
HEART,A posture or practice opening and expanding the chest,easy
INHALE,The intake of breath used to create space and expansion,easy
INTENTION,A purpose or dedication set at the start of a practice,medium
INVERSIONS,Postures turning the body upside down reversing gravity's effect,hard
IYengar,A precise alignment-based yoga style using props extensively,medium
JNANA,The path of yoga focused on knowledge and self-inquiry,medium
KARMA,The law of cause and effect shaping future experience,easy
KRIYA,A cleansing practice purifying the body and nervous system,medium
KUNDALINI,A yoga style awakening dormant energy coiled at the base of the spine,hard
LOTUS,A seated cross-legged meditation posture placing feet on thighs,easy
MANTRA,A word phrase or sound repeated to focus the mind,easy
MEDITATION,The practice of training sustained focused attention,hard
MINDFULNESS,Purposeful non-judgmental awareness of the present moment,medium
MUDRA,A symbolic hand gesture directing and sealing energy,medium
NAMASTE,A respectful greeting honoring the divine within each person,medium
NIDRA,A deep relaxation practice inducing a state between sleep and waking,easy
NIRVANA,A state of liberation from suffering desire and conditioned existence,medium
NIYAMA,The second limb of yoga describing personal observances,medium
OCEAN,A slow rhythmic breath created by slightly constricting the throat,easy
OM,The primordial sound vibration chanted at the start and end of practice,easy
OPENNESS,The quality of receptivity and willingness in practice,easy
PIGEON,A deep hip-opening posture stretching the external rotator muscles,easy
PLANK,A posture holding the body in a straight line supported by the arms,easy
PRANA,The life-force energy flowing through the body,easy
PRANAYAMA,The fourth limb of yoga focusing on breath regulation,hard
PRATYAHARA,The fifth limb of yoga meaning withdrawal of the senses,hard
RELAXATION,The conscious release of muscular and mental tension,medium
RESTORATIVE,A gentle yoga style using props for passive supported postures,hard
SADHANA,A personal daily spiritual practice,medium
SAMADHI,The eighth limb of yoga meaning union or absorption,hard
SANKALPA,A heart-felt intention or resolve set during practice or meditation,hard
SANSKRIT,The ancient language of India in which yoga texts were written,medium
SAVASANA,The final resting posture of a yoga class,medium
SEATED,A posture or meditation practice performed sitting on the floor,easy
SEQUENCE,The order in which postures are arranged to create a practice,medium
SHANTI,The Sanskrit word for peace used in closing chants,easy
SHOULDER,An inversion resting the weight on the upper back and shoulders,medium
SILENCE,The quality of inner and outer stillness cultivated in meditation,easy
SKANDHA,One of the five aggregates composing human experience,hard
SOFTENING,The conscious release of unnecessary effort during a posture,medium
SPINE,The central axis of the body elongated and aligned in postures,easy
STILLNESS,The quality of settled unmoving awareness in meditation,medium
SURRENDER,The practice of releasing control and trusting the process,medium
SUTRA,A concise aphorism forming part of the classical yoga texts,medium
TAPAS,The third niyama meaning disciplined effort and inner heat,medium
TREE,A standing balance posture with one foot placed on the inner thigh,easy
TRIANGLE,A standing posture extending the torso sideways over a straight leg,medium
UJJAYI,The audible ocean-like breath used throughout ashtanga practice,hard
VINYASA,A flowing sequence linking breath to each movement,medium
WARRIOR,A powerful standing posture family named for a mythic archer,easy
WHEEL,A full backbend lifting the body into an arch from the ground,easy
YAMA,The first limb of yoga describing ethical guidelines,easy
YOGA,A system uniting body mind and spirit through practice,easy
