word,clue,difficulty
APPLE,"A fruit that keeps the doctor away",easy
BRIDGE,"A structure spanning a river or gap",medium
CANDLE,"A wax cylinder that provides light when lit",easy
DESERT,"An arid landscape with little rainfall",easy
ENIGMA,"A puzzling mystery or riddle",hard
FALCON,"A fast bird of prey",medium
GARDEN,"An outdoor space where plants are cultivated",easy
HARBOR,"A sheltered body of water for ships",medium
ISLAND,"Land surrounded by water on all sides",easy
JUNGLE,"A dense tropical forest",easy
KNIGHT,"A medieval warrior on horseback",medium
LANTERN,"A portable light enclosed in a frame",medium
MARBLE,"A smooth stone often used in sculpture",medium
NEEDLE,"A slender tool used in sewing",easy
OYSTER,"A shellfish that sometimes produces pearls",medium
PLANET,"A large body orbiting a star",easy
QUARTZ,"A common crystalline mineral",hard
RIBBON,"A narrow strip of decorative fabric",easy
SADDLE,"A seat for a rider on a horse",medium
THRONE,"A ceremonial chair for a monarch",medium
UMBRELLA,"A folding canopy for shelter from rain",easy
VALLEY,"A low area between hills or mountains",easy
WALRUS,"A large marine mammal with tusks",medium
XYLEM,"Plant tissue that transports water upward",hard
YELLOW,"The color of sunflowers and lemons",easy
ZIPPER,"A fastening device with interlocking teeth",easy
ANCHOR,"A heavy device that moors a ship",medium
BRONZE,"An alloy of copper and tin",medium
CASTLE,"A large fortified medieval building",easy
DONKEY,"A domesticated relative of the horse",easy
EAGLE,"A large bird of prey with keen vision",easy
FLUTE,"A woodwind instrument played sideways",medium
GOBLIN,"A mischievous creature in folklore",medium
HOLLOW,"An empty space or cavity within something",medium
IGLOO,"A dome-shaped shelter made of snow",easy
JIGSAW,"A puzzle made of interlocking cut pieces",easy
KELP,"A large brown seaweed found in cold waters",hard
LEMON,"A sour yellow citrus fruit",easy
MAGNET,"An object that attracts iron and steel",easy
NOODLE,"A type of pasta in long thin strips",easy
ONION,"A vegetable that often causes tears when cut",easy
PEPPER,"A spice used to add heat to food",easy
QUEEN,"The female ruler of a kingdom",easy
RAVEN,"A large black bird associated with mystery",medium
SPHINX,"A mythological creature with a human head and lion body",hard
TUNDRA,"A treeless Arctic biome",hard
UTOPIA,"An imagined perfect society",hard
VENOM,"A toxic substance injected by some animals",medium
WIZARD,"A person who practices magic",medium
ACE,A perfect tennis serve,easy
ARCH,A curved structural span,easy
AXE,A tool for splitting wood,easy
BRIM,The edge of a hat,easy
DUSK,The hour after sunset,easy
FERN,A leafy woodland plant,easy
GUST,A sudden rush of wind,easy
HELM,The wheel that steers a ship,easy
INK,The fluid of a pen,easy
JAW,The bone that holds your teeth,easy
KELP,Brown seaweed of cold oceans,easy
LIMP,To walk with an uneven gait,easy
MIST,A light low-lying fog,easy
NIT,A tiny fault or louse egg,easy
OAK,A tree that produces acorns,easy
PINE,A cone-bearing evergreen tree,easy
QUILL,A feather used as a pen,easy
RYE,A grain used in dark bread,easy
SAGE,A fragrant cooking herb,easy
TUFT,A small cluster of grass or hair,easy
BRISK,Energetic and quick in manner,medium
CHISEL,A blade used for carving stone,medium
CLUTCH,To grip tightly in the hand,medium
DEPOT,A storage or transit station,medium
EMBER,A glowing fragment of dying fire,medium
FJORD,A narrow coastal inlet carved by glaciers,medium
GRAVEL,Small loose stones covering a path,medium
HINGE,A jointed device a door swings on,medium
KNOLL,A small rounded hill,medium
LANKY,Tall and thin in an awkward way,medium
MORTAR,A bowl for grinding spices,medium
NICHE,A small recess in a wall,medium
OCHRE,A yellow-brown earth pigment,medium
PEWTER,A dull grey tin-based alloy,medium
QUARRY,A place where stone is excavated,medium
RAFTER,A sloping beam supporting a roof,medium
SCYTHE,A curved blade on a long handle for cutting grain,medium
TALLOW,Animal fat used to make candles,medium
VESSEL,A container or a seafaring craft,medium
WICKER,Woven twigs used to make furniture,medium
ARCHIPELAGO,A chain of islands scattered in water,hard
CAMOUFLAGE,A disguise that blends into surroundings,hard
CATALYST,Something that speeds up a reaction,hard
COMPULSORY,Required by rule or law,hard
CREVASSE,A deep crack in a glacier,hard
ELOQUENT,Fluent and persuasive in speech,hard
LABYRINTH,A complex and confusing maze,hard
MIGRATORY,Describing animals that move seasonally,hard
PHOSPHORUS,A glowing chemical element,hard
TERRACOTTA,An unglazed brownish-red fired clay,hard
BLAZE,A fierce and bright fire,easy
CRYPT,An underground burial vault,easy
FLINT,A hard rock that sparks when struck,easy
GROVE,A small cluster of trees,easy
SMOLT,A young salmon heading to sea,medium
COBALT,A deep vivid blue metal,medium
GALLOP,The fastest gait of a horse,medium
SERENE,Calm and undisturbed in feeling,medium
CIRCUIT,A closed path electricity travels,medium
SOLSTICE,The day of longest or shortest light,hard
